NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PGK1	1	10.262187957763672	0.24766907	Yes	
row_1	PKM	53	4.885618686676025	0.3616636	Yes	
row_2	HK1	80	4.308542251586914	0.46366405	Yes	
row_3	ENO2	275	2.850597381591797	0.51744705	Yes	
row_4	PFKP	376	2.4175145626068115	0.5680598	Yes	
row_5	BAD	441	2.20890212059021	0.61642635	Yes	
row_6	FOXK2	1242	1.1216356754302979	0.58150345	Yes	
row_7	TPI1	1255	1.111706256866455	0.60741186	Yes	
row_8	ALDOC	1297	1.0790245532989502	0.63028383	Yes	
row_9	HK2	1708	0.8183483481407166	0.61826456	Yes	
row_10	ENO3	1814	0.764517605304718	0.62858367	Yes	
row_11	PFKM	1905	0.7164685726165771	0.6389053	Yes	
row_12	ENO4	2147	0.6133630275726318	0.6350351	No	
row_13	PGAM2	2424	0.5023170709609985	0.6257715	No	
row_14	GAPDHS	2825	0.38082727789878845	0.6039648	No	
row_15	FOXK1	3650	0.2146613746881485	0.54528594	No	
row_16	PGM1	3773	0.19545769691467285	0.54054946	No	
row_17	PFKFB1	4857	0.05786038190126419	0.45801234	No	
row_18	PFKFB2	5443	0.002282744972035289	0.41272917	No	
row_19	ALDOA	6746	-0.12362020462751389	0.31480682	No	
row_20	AK9	7650	-0.22376829385757446	0.25022525	No	
row_21	PGAM1	8819	-0.3891074061393738	0.16909736	No	
row_22	ADPGK	9708	-0.5565404295921326	0.11371198	No	
row_23	GPI	9926	-0.6062882542610168	0.11153102	No	
row_24	LDHA	10849	-0.8637678623199463	0.060927585	No	
row_25	ENO1	11417	-1.0889633893966675	0.043273736	No	
row_26	GAPDH	11691	-1.2298190593719482	0.051805776	No	
row_27	PFKL	12326	-1.8284109830856323	0.04681085	No	
