NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FAM3A	997	1.3407748937606812	-0.0496908	No	
row_1	PGLYRP2	1589	0.8763362169265747	-0.07746715	No	
row_2	RARRES2	2093	0.6356121301651001	-0.103377506	No	
row_3	ROMO1	2397	0.512450098991394	-0.116317615	No	
row_4	SLC11A1	2523	0.47053200006484985	-0.11632028	No	
row_5	SFTPD	2956	0.35110998153686523	-0.14258412	No	
row_6	HMGN2	3945	0.1715528517961502	-0.21565267	No	
row_7	KRT6A	4565	0.08830474317073822	-0.26182634	No	
row_8	ANG	4622	0.08303211629390717	-0.26445836	No	
row_9	PDZD11	5140	0.03025779500603676	-0.30391905	No	
row_10	DEFB1	5978	-0.044751595705747604	-0.36789137	No	
row_11	ATP7A	6038	-0.05118304863572121	-0.3714118	No	
row_12	RPS19	6062	-0.05438495799899101	-0.37207517	No	
row_13	CXCL14	6116	-0.05904021114110947	-0.37496865	No	
row_14	CHGA	6584	-0.10640847682952881	-0.40898475	No	
row_15	PI3	7900	-0.2548815906047821	-0.5056903	No	
row_16	WFDC2	8142	-0.2873721420764923	-0.518458	No	
row_17	BPIFA2	8354	-0.31555795669555664	-0.5283195	No	
row_18	PLA2G2A	8557	-0.3434053063392639	-0.5369097	No	
row_19	RPL39	8659	-0.3633606433868408	-0.5372584	No	
row_20	BPIFA1	8764	-0.38051900267601013	-0.5374864	No	
row_21	SLPI	10834	-0.8593516945838928	-0.68020386	No	
row_22	PGLYRP4	11440	-1.0986895561218262	-0.70448714	Yes	
row_23	GAPDH	11691	-1.2298190593719482	-0.6985467	Yes	
row_24	PLA2G6	11927	-1.3965516090393066	-0.6880101	Yes	
row_25	S100A12	12207	-1.6708451509475708	-0.6752368	Yes	
row_26	RPL30	12463	-2.165382146835327	-0.6504198	Yes	
row_27	CLU	12651	-2.755368947982788	-0.60818213	Yes	
row_28	S100A7	12689	-2.955589532852173	-0.550192	Yes	
row_29	S100A8	12884	-5.273130893707275	-0.4566536	Yes	
row_30	LCN2	12920	-7.185288429260254	-0.31141433	Yes	
row_31	BPIFB1	12921	-7.273703575134277	-0.1616409	Yes	
row_32	S100A9	12927	-7.880161762237549	2.324958E-4	Yes	
