NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATOX1	623	1.8307011127471924	-0.0018748225	No	
row_1	PGLYRP2	1589	0.8763362169265747	-0.05441237	No	
row_2	SLC11A1	2523	0.47053200006484985	-0.11475133	No	
row_3	TLR2	2964	0.3496786952018738	-0.13997018	No	
row_4	PDZD11	5140	0.03025779500603676	-0.30765167	No	
row_5	DEFB1	5978	-0.044751595705747604	-0.37134144	No	
row_6	ATP7A	6038	-0.05118304863572121	-0.3746143	No	
row_7	CHGA	6584	-0.10640847682952881	-0.41412756	No	
row_8	PI3	7900	-0.2548815906047821	-0.5095142	No	
row_9	BPIFA2	8354	-0.31555795669555664	-0.5366042	No	
row_10	PLA2G2A	8557	-0.3434053063392639	-0.54354954	No	
row_11	BPIFA1	8764	-0.38051900267601013	-0.5498645	No	
row_12	PGLYRP4	11440	-1.0986895561218262	-0.72920436	No	
row_13	CLU	12651	-2.755368947982788	-0.7531173	Yes	
row_14	S100A7	12689	-2.955589532852173	-0.6811126	Yes	
row_15	S100A8	12884	-5.273130893707275	-0.5625597	Yes	
row_16	LCN2	12920	-7.185288429260254	-0.38325444	Yes	
row_17	BPIFB1	12921	-7.273703575134277	-0.19899878	Yes	
row_18	S100A9	12927	-7.880161762237549	2.322915E-4	Yes	
