NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL12	614	1.8490408658981323	-0.02313086	No	
row_1	RAB13	1277	1.092753529548645	-0.06007626	No	
row_2	ABCC1	1306	1.0719377994537354	-0.047968246	No	
row_3	TGFB2	1438	0.9731754660606384	-0.04519084	No	
row_4	HOXB9	1590	0.8759890794754028	-0.0452649	No	
row_5	HSD3B7	1655	0.8384741544723511	-0.03906958	No	
row_6	ANXA1	2172	0.601643979549408	-0.07120033	No	
row_7	EGR3	2192	0.5933828353881836	-0.06477016	No	
row_8	PDGFB	2287	0.5527142882347107	-0.06471769	No	
row_9	PPIB	2548	0.45958107709884644	-0.078822754	No	
row_10	CKLF	2920	0.35937967896461487	-0.10290009	No	
row_11	SFTPD	2956	0.35110998153686523	-0.10094385	No	
row_12	EPHA2	3037	0.3343477249145508	-0.10271241	No	
row_13	MSMP	3538	0.2317183017730713	-0.13852854	No	
row_14	RHOG	3657	0.21319101750850677	-0.14486861	No	
row_15	PPIA	4119	0.1473972350358963	-0.17877401	No	
row_16	CXCR5	4299	0.1226213127374649	-0.19106753	No	
row_17	ITGB2	4315	0.11987264454364777	-0.19063702	No	
row_18	ADGRE2	4547	0.09023446589708328	-0.20740823	No	
row_19	LYST	4756	0.06825718283653259	-0.22268276	No	
row_20	GBF1	5062	0.03852762281894684	-0.24590099	No	
row_21	CCR10	5228	0.02034270577132702	-0.25846833	No	
row_22	CCR1	5369	0.00999746099114418	-0.26922834	No	
row_23	PARVA	5565	-0.009101275354623795	-0.28427976	No	
row_24	FFAR2	5602	-0.012023010291159153	-0.28692064	No	
row_25	RPS19	6062	-0.05438495799899101	-0.32191008	No	
row_26	SLC12A2	6209	-0.06832260638475418	-0.3323596	No	
row_27	ADAM8	6383	-0.0874950960278511	-0.3446544	No	
row_28	CHGA	6584	-0.10640847682952881	-0.358798	No	
row_29	TRPM4	6618	-0.11060904711484909	-0.3598915	No	
row_30	PIP5K1C	6772	-0.1261008381843567	-0.3701156	No	
row_31	EDN2	6840	-0.1336546093225479	-0.37354746	No	
row_32	DOCK4	6949	-0.14551223814487457	-0.38001147	No	
row_33	HBEGF	6981	-0.148087739944458	-0.38044983	No	
row_34	ACKR2	7542	-0.21194064617156982	-0.4211981	No	
row_35	PLEKHG5	7662	-0.22524060308933258	-0.4274554	No	
row_36	CCL5	7685	-0.22855009138584137	-0.4261211	No	
row_37	EDN1	7705	-0.2317618429660797	-0.42451057	No	
row_38	TNFRSF11A	7833	-0.24646317958831787	-0.43110746	No	
row_39	CCR7	7872	-0.2520899176597595	-0.43070439	No	
row_40	SYK	7893	-0.25393691658973694	-0.4288761	No	
row_41	SEMA5A	8050	-0.27168944478034973	-0.43739325	No	
row_42	TRPM2	8081	-0.2766803205013275	-0.43603995	No	
row_43	CORO1B	8292	-0.3077348470687866	-0.44827837	No	
row_44	PIK3CD	8478	-0.3318382203578949	-0.4582503	No	
row_45	HMGB1	8550	-0.3428354263305664	-0.45920548	No	
row_46	PIP5K1A	8980	-0.41579386591911316	-0.48704383	No	
row_47	PIKFYVE	9213	-0.4609774351119995	-0.49895164	No	
row_48	PLXNB3	9307	-0.4792969226837158	-0.49979988	No	
row_49	CCL28	9494	-0.5158940553665161	-0.5073965	No	
row_50	GAB1	9951	-0.6120181083679199	-0.5347205	No	
row_51	SBDS	9982	-0.6191873550415039	-0.5288023	No	
row_52	SRP54	10533	-0.7589293122291565	-0.56148225	No	
row_53	ARHGEF16	10675	-0.8020995259284973	-0.56176305	No	
row_54	ALOX5	10797	-0.8473694920539856	-0.55988425	No	
row_55	IL16	11081	-0.9366225004196167	-0.569421	Yes	
row_56	CX3CL1	11157	-0.963221549987793	-0.56241894	Yes	
row_57	BSG	11272	-1.0167474746704102	-0.55773807	Yes	
row_58	CXCR4	11329	-1.041946291923523	-0.5482084	Yes	
row_59	ELMO2	11506	-1.1289961338043213	-0.5468557	Yes	
row_60	ACKR3	11515	-1.133974552154541	-0.53236467	Yes	
row_61	PRKCD	11753	-1.2603195905685425	-0.53400797	Yes	
row_62	CCL22	11755	-1.2605401277542114	-0.51728547	Yes	
row_63	BCAR1	11933	-1.398717999458313	-0.51241565	Yes	
row_64	SAA1	11971	-1.4379397630691528	-0.4961299	Yes	
row_65	LGALS3	11996	-1.459742546081543	-0.47854203	Yes	
row_66	CXCL16	12111	-1.5552804470062256	-0.46668366	Yes	
row_67	NR4A1	12149	-1.6008676290512085	-0.4482264	Yes	
row_68	S100A12	12207	-1.6708451509475708	-0.43039268	Yes	
row_69	HMGB2	12348	-1.8824337720870972	-0.41619706	Yes	
row_70	NRP1	12455	-2.1446614265441895	-0.395861	Yes	
row_71	GAS6	12490	-2.2171967029571533	-0.36895594	Yes	
row_72	CXCL17	12569	-2.438441276550293	-0.34252578	Yes	
row_73	VEGFA	12700	-3.007474899291992	-0.31255767	Yes	
row_74	IL6R	12765	-3.3818788528442383	-0.27246413	Yes	
row_75	ARRB2	12817	-3.944751024246216	-0.2238572	Yes	
row_76	MDK	12833	-4.285038471221924	-0.16791382	Yes	
row_77	S100A8	12884	-5.273130893707275	-0.10152458	Yes	
row_78	S100A9	12927	-7.880161762237549	2.3334139E-4	Yes	
