NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MT2A	587	1.898754358291626	-0.012836479	No	
row_1	DAPK3	926	1.3983924388885498	-0.014964417	No	
row_2	HCK	1013	1.3277100324630737	0.001262494	No	
row_3	TRIM8	1410	0.9882189631462097	-0.012447388	No	
row_4	ICAM1	2068	0.6471136212348938	-0.052315794	No	
row_5	IRF3	2168	0.6028949618339539	-0.04960394	No	
row_6	CD44	2707	0.4122810959815979	-0.08428048	No	
row_7	TLR2	2964	0.3496786952018738	-0.098132506	No	
row_8	IFNGR2	3057	0.32831689715385437	-0.099614225	No	
row_9	TRIM26	3183	0.2991478741168976	-0.1041625	No	
row_10	GBP3	4027	0.16056853532791138	-0.16687302	No	
row_11	LGALS9	4067	0.15551972389221191	-0.16721919	No	
row_12	IFNGR1	4304	0.12153559178113937	-0.18345386	No	
row_13	JAK2	4993	0.045039914548397064	-0.23611782	No	
row_14	PML	5453	0.0013986347476020455	-0.27174693	No	
row_15	TRIM25	5751	-0.025907589122653008	-0.2943697	No	
row_16	PTAFR	5915	-0.03930569440126419	-0.30635273	No	
row_17	SYNCRIP	6017	-0.04862933233380318	-0.313359	No	
row_18	PDE12	6066	-0.0545121394097805	-0.31614694	No	
row_19	JAK1	6516	-0.0983288437128067	-0.34932697	No	
row_20	TRIM5	6568	-0.10501613467931747	-0.3514766	No	
row_21	RPL13A	6752	-0.12392521649599075	-0.3635532	No	
row_22	CIITA	6998	-0.1505967378616333	-0.37998557	No	
row_23	IRF5	7430	-0.19650119543075562	-0.41007364	No	
row_24	CCL5	7685	-0.22855009138584137	-0.42586014	No	
row_25	DAPK1	8735	-0.37580376863479614	-0.5008584	No	
row_26	MID1	8860	-0.39618802070617676	-0.5036548	No	
row_27	TRIM68	9053	-0.42837435007095337	-0.51117784	No	
row_28	TRIM21	9504	-0.5179596543312073	-0.5371956	No	
row_29	CAMK2D	9586	-0.532095193862915	-0.5343071	No	
row_30	STAT1	9789	-0.574081301689148	-0.540093	No	
row_31	IRF2	9801	-0.5767401456832886	-0.5309969	No	
row_32	TRIM62	9885	-0.5952714085578918	-0.52717376	No	
row_33	GBP1	10018	-0.6301088929176331	-0.52655566	No	
row_34	GBP2	10115	-0.6510327458381653	-0.5227803	No	
row_35	CX3CL1	11157	-0.963221549987793	-0.5870224	Yes	
row_36	SP100	11200	-0.9804310202598572	-0.5733694	Yes	
row_37	CD58	11368	-1.0645043849945068	-0.56797534	Yes	
row_38	IRF7	11673	-1.220126748085022	-0.5705379	Yes	
row_39	GAPDH	11691	-1.2298190593719482	-0.5506403	Yes	
row_40	PRKCD	11753	-1.2603195905685425	-0.5336341	Yes	
row_41	CCL22	11755	-1.2605401277542114	-0.51196367	Yes	
row_42	TRIM38	11794	-1.2937992811203003	-0.49259338	Yes	
row_43	CD47	11865	-1.343985676765442	-0.47484285	Yes	
row_44	IRF9	12020	-1.4765007495880127	-0.4613308	Yes	
row_45	OAS3	12187	-1.6420037746429443	-0.44589543	Yes	
row_46	B2M	12283	-1.7677547931671143	-0.4227755	Yes	
row_47	CAMK2G	12307	-1.8033381700515747	-0.39344898	Yes	
row_48	SIRPA	12511	-2.263408660888672	-0.37016648	Yes	
row_49	IRF6	12537	-2.338440179824829	-0.33176318	Yes	
row_50	CAMK2B	12570	-2.44231915473938	-0.29211137	Yes	
row_51	OAS1	12577	-2.4615728855133057	-0.2501078	Yes	
row_52	SLC26A6	12589	-2.507925033569336	-0.20769288	Yes	
row_53	OASL	12599	-2.536135196685791	-0.16463591	Yes	
row_54	OAS2	12643	-2.701706886291504	-0.1213633	Yes	
row_55	IRF1	12701	-3.020277261734009	-0.073681846	Yes	
row_56	IFI30	12886	-5.297146320343018	0.0034176898	Yes	
