NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS6KB1	993	1.3430851697921753	-0.053483807	No	
row_1	RPS2	1194	1.1569870710372925	-0.048560172	No	
row_2	RPL7A	1337	1.0442559719085693	-0.04111962	No	
row_3	RPSA	1710	0.8170638084411621	-0.05559774	No	
row_4	RPL37	2783	0.389490008354187	-0.13211264	No	
row_5	RPS6KA6	3152	0.3046211302280426	-0.15535274	No	
row_6	RPL35	3266	0.2806015610694885	-0.15917687	No	
row_7	FAU	3417	0.2522335350513458	-0.16638221	No	
row_8	RPS26	3572	0.22647522389888763	-0.17435484	No	
row_9	RPL36	3783	0.19375869631767273	-0.18726406	No	
row_10	RPL29	3847	0.1859733909368515	-0.1888732	No	
row_11	RPL36A	4070	0.15539413690567017	-0.2033954	No	
row_12	RPL37A	4232	0.1330699324607849	-0.21356651	No	
row_13	RPL8	4422	0.10424639284610748	-0.22642663	No	
row_14	RPS10	4684	0.07647795975208282	-0.24538064	No	
row_15	RPS5	4713	0.0731547623872757	-0.24626403	No	
row_16	RPL27	4788	0.064242422580719	-0.2508844	No	
row_17	RPS3A	4847	0.05873032659292221	-0.25435746	No	
row_18	RPL13	4958	0.04905492812395096	-0.2620479	No	
row_19	RPS21	4987	0.04590040072798729	-0.26341385	No	
row_20	RPL23	4996	0.04483036324381828	-0.26324254	No	
row_21	RPS3	5015	0.042749352753162384	-0.26388618	No	
row_22	RPL18	5035	0.04121069237589836	-0.2646349	No	
row_23	RPS7	5209	0.022648820653557777	-0.27769482	No	
row_24	RPS9	5642	-0.016101587563753128	-0.31102318	No	
row_25	RPS4X	5787	-0.028364775702357292	-0.32172543	No	
row_26	RPL35A	5975	-0.04448522627353668	-0.33548805	No	
row_27	RPL22	6035	-0.05075788125395775	-0.33918005	No	
row_28	RPS19	6062	-0.05438495799899101	-0.34024018	No	
row_29	RPS6KA2	6160	-0.06286688148975372	-0.34667453	No	
row_30	RPL18A	6195	-0.06688152998685837	-0.34813583	No	
row_31	RPL34	6335	-0.08090043067932129	-0.35751885	No	
row_32	RPL12	6439	-0.09161335974931717	-0.3639111	No	
row_33	RPLP2	6597	-0.10850361734628677	-0.37420595	No	
row_34	RPL13A	6752	-0.12392521649599075	-0.3839943	No	
row_35	RPS11	6769	-0.1257323920726776	-0.38301304	No	
row_36	RPS24	6805	-0.13009092211723328	-0.38343298	No	
row_37	RPL9	6819	-0.13152708113193512	-0.38211572	No	
row_38	RPS15	6908	-0.1408758908510208	-0.3864686	No	
row_39	RPL7	6913	-0.14154721796512604	-0.3842736	No	
row_40	RPL38	7052	-0.1567213237285614	-0.39223635	No	
row_41	RPS28	7130	-0.16442883014678955	-0.39531627	No	
row_42	RPL28	7142	-0.16565775871276855	-0.39323908	No	
row_43	RPL41	7264	-0.1780545860528946	-0.39950135	No	
row_44	RPL11	7480	-0.202300027012825	-0.41264838	No	
row_45	RPL27A	7554	-0.2138134390115738	-0.41454268	No	
row_46	RPL32	8005	-0.2661926746368408	-0.44484353	No	
row_47	RPS12	8329	-0.3121631443500519	-0.4644487	No	
row_48	RPL39	8659	-0.3633606433868408	-0.4836142	No	
row_49	RPS14	8848	-0.3937108516693115	-0.49127132	No	
row_50	RPS16	9293	-0.4752015173435211	-0.5174046	No	
row_51	RPL14	9391	-0.4964318573474884	-0.51616234	No	
row_52	RPS27	9578	-0.5303419232368469	-0.52124465	No	
row_53	RPL6	10285	-0.6918458938598633	-0.56392807	Yes	
row_54	MRPL19	10432	-0.7300885319709778	-0.56236136	Yes	
row_55	RPL26	10467	-0.7395066618919373	-0.55191326	Yes	
row_56	RPL10A	10780	-0.8404023051261902	-0.56130964	Yes	
row_57	RPL10	10796	-0.8471518754959106	-0.54747725	Yes	
row_58	RPLP1	10826	-0.856400191783905	-0.5345704	Yes	
row_59	RPS6	10988	-0.9099270105361938	-0.5309866	Yes	
row_60	RPL23A	11033	-0.9211832880973816	-0.5180999	Yes	
row_61	RPS29	11126	-0.9540351629257202	-0.50836635	Yes	
row_62	RPL3	11385	-1.0716878175735474	-0.50946593	Yes	
row_63	RPL19	11504	-1.128096103668213	-0.4986735	Yes	
row_64	RPL4	11703	-1.2332321405410767	-0.49224427	Yes	
row_65	RPLP0	11784	-1.2842470407485962	-0.47573033	Yes	
row_66	RPS8	11839	-1.325825810432434	-0.45645717	Yes	
row_67	RPL5	12143	-1.594185471534729	-0.45180687	Yes	
row_68	RPS6KB2	12160	-1.6106101274490356	-0.42453465	Yes	
row_69	RPL15	12313	-1.8134831190109253	-0.40425238	Yes	
row_70	RPS23	12330	-1.8333148956298828	-0.37303695	Yes	
row_71	RPS20	12440	-2.1143252849578857	-0.34408227	Yes	
row_72	RPL30	12463	-2.165382146835327	-0.30745417	Yes	
row_73	RPS18	12612	-2.607144832611084	-0.27280822	Yes	
row_74	RPL31	12613	-2.608901023864746	-0.22661547	Yes	
row_75	RPS6KA3	12699	-3.0045628547668457	-0.18003096	Yes	
row_76	RPS25	12777	-3.4995250701904297	-0.124060266	Yes	
row_77	RPS6KA1	12792	-3.6615259647369385	-0.060319237	Yes	
row_78	RPS13	12820	-4.008791923522949	0.008558897	Yes	
