NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPP1R11	93	4.0941033363342285	0.021336075	No	
row_1	MAVS	218	3.1582694053649902	0.03370928	No	
row_2	S100A14	429	2.243724822998047	0.032968137	No	
row_3	EXOSC5	726	1.6622579097747803	0.021440016	No	
row_4	FAM3A	997	1.3407748937606812	0.009698384	No	
row_5	PHB	1089	1.2481615543365479	0.011304928	No	
row_6	MAP3K14	1281	1.0903570652008057	0.0039902125	No	
row_7	ISG20	1347	1.0365118980407715	0.0061507015	No	
row_8	FLNA	1452	0.9609634876251221	0.004734042	No	
row_9	PGLYRP2	1589	0.8763362169265747	2.2409883E-4	No	
row_10	AGBL5	1810	0.7655948996543884	-0.0116272755	No	
row_11	MR1	1925	0.710701048374176	-0.015574494	No	
row_12	PRB3	1982	0.682939887046814	-0.015180901	No	
row_13	IFI27	2056	0.6519251465797424	-0.016333183	No	
row_14	RARRES2	2093	0.6356121301651001	-0.014706569	No	
row_15	ANKRD17	2099	0.6332261562347412	-0.010672857	No	
row_16	IRF3	2168	0.6028949618339539	-0.011776807	No	
row_17	ROMO1	2397	0.512450098991394	-0.026022509	No	
row_18	PQBP1	2452	0.492570698261261	-0.02680274	No	
row_19	SLC11A1	2523	0.47053200006484985	-0.028987942	No	
row_20	PYCARD	2650	0.42850813269615173	-0.035845205	No	
row_21	RNF135	2840	0.37694528698921204	-0.047988486	No	
row_22	SFTPD	2956	0.35110998153686523	-0.05452652	No	
row_23	TLR2	2964	0.3496786952018738	-0.052630454	No	
row_24	ISG15	3119	0.31470879912376404	-0.062472098	No	
row_25	PLA2G10	3542	0.23148213326931	-0.09384915	No	
row_26	DROSHA	3646	0.21534031629562378	-0.10039763	No	
row_27	EXOSC4	3879	0.18055039644241333	-0.117275216	No	
row_28	BCL2	3911	0.17652057111263275	-0.11846556	No	
row_29	RAB1A	4207	0.13556402921676636	-0.1405832	No	
row_30	IFNAR2	4229	0.13318023085594177	-0.14129451	No	
row_31	CEBPB	4334	0.11683519184589386	-0.14860949	No	
row_32	RNASE1	4417	0.10584016144275665	-0.1542812	No	
row_33	IFITM2	4520	0.09291279315948486	-0.16160695	No	
row_34	KRT6A	4565	0.08830474317073822	-0.16443011	No	
row_35	ANG	4622	0.08303211629390717	-0.16822834	No	
row_36	LYST	4756	0.06825718283653259	-0.17815015	No	
