NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PGK1	1	10.262187957763672	0.27886328	Yes	
row_1	PKM	53	4.885618686676025	0.40771085	Yes	
row_2	HK1	80	4.308542251586914	0.52280915	Yes	
row_3	ENO2	275	2.850597381591797	0.5852653	Yes	
row_4	PFKP	376	2.4175145626068115	0.6432308	Yes	
row_5	FOXK2	1242	1.1216356754302979	0.60671616	Yes	
row_6	TPI1	1255	1.111706256866455	0.6360044	Yes	
row_7	ALDOC	1297	1.0790245532989502	0.66215795	Yes	
row_8	HK2	1708	0.8183483481407166	0.6526435	Yes	
row_9	ENO3	1814	0.764517605304718	0.6652909	Yes	
row_10	PFKM	1905	0.7164685726165771	0.6777942	Yes	
row_11	PGAM2	2424	0.5023170709609985	0.6513239	No	
row_12	GAPDHS	2825	0.38082727789878845	0.63069165	No	
row_13	FOXK1	3650	0.2146613746881485	0.57269996	No	
row_14	LRP5	6410	-0.08967317640781403	0.36142707	No	
row_15	ALDOA	6746	-0.12362020462751389	0.33883837	No	
row_16	PGAM1	8819	-0.3891074061393738	0.18891911	No	
row_17	GPI	9926	-0.6062882542610168	0.119728856	No	
row_18	ENO1	11417	-1.0889633893966675	0.033914004	No	
row_19	GAPDH	11691	-1.2298190593719482	0.04619582	No	
row_20	PFKL	12326	-1.8284109830856323	0.046785384	No	
