NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GMPR	813	1.545491337776184	-0.045726012	No	
row_1	IFI35	902	1.426879644393921	-0.036422227	No	
row_2	ISG20	1347	1.0365118980407715	-0.059216317	No	
row_3	PSME2	1902	0.7204151749610901	-0.09414026	No	
row_4	IFI27	2056	0.6519251465797424	-0.09865969	No	
row_5	ADAR	2975	0.34722456336021423	-0.16610917	No	
row_6	ISG15	3119	0.31470879912376404	-0.1736669	No	
row_7	TRIM26	3183	0.2991478741168976	-0.17518036	No	
row_8	SLC25A28	3316	0.2719539999961853	-0.18236658	No	
row_9	CMTR1	4057	0.15645650029182434	-0.23813446	No	
row_10	UBA7	4379	0.110648013651371	-0.26184157	No	
row_11	IFITM2	4520	0.09291279315948486	-0.27167583	No	
row_12	IFITM3	4829	0.06008761748671532	-0.29494426	No	
row_13	TRIM25	5751	-0.025907589122653008	-0.36626294	No	
row_14	PROCR	5813	-0.030988823622465134	-0.3706553	No	
row_15	SELL	6102	-0.05759163573384285	-0.3923969	No	
row_16	IFITM1	6147	-0.06161905825138092	-0.39512083	No	
row_17	CNP	6172	-0.06419789791107178	-0.39626047	No	
row_18	TXNIP	6415	-0.08978527784347534	-0.41406107	No	
row_19	TRIM5	6568	-0.10501613467931747	-0.4246914	No	
row_20	TRAFD1	7302	-0.1827349066734314	-0.47961766	No	
row_21	C1S	7782	-0.24045327305793762	-0.51414114	No	
row_22	NUB1	7997	-0.26478204131126404	-0.5277844	No	
row_23	HERC6	8063	-0.27331292629241943	-0.5297457	No	
row_24	BATF2	8380	-0.31875374913215637	-0.5507092	No	
row_25	PARP12	9227	-0.46330833435058594	-0.61124676	No	
row_26	LAP3	9396	-0.4970244765281677	-0.6186853	No	
row_27	TRIM21	9504	-0.5179596543312073	-0.62114394	No	
row_28	OGFR	9545	-0.5258991122245789	-0.6183032	No	
row_29	RIPK2	9688	-0.5522928833961487	-0.62309474	No	
row_30	MX1	9741	-0.5631698369979858	-0.62076527	No	
row_31	IRF2	9801	-0.5767401456832886	-0.61882657	No	
row_32	HELZ2	9963	-0.6159870624542236	-0.6243747	No	
row_33	LAMP3	10081	-0.6451730132102966	-0.62617135	No	
row_34	GBP2	10115	-0.6510327458381653	-0.6213704	No	
row_35	PNPT1	10178	-0.6666871905326843	-0.6186471	No	
row_36	IFI44	10188	-0.6676570773124695	-0.61179185	No	
row_37	USP18	10436	-0.7308704257011414	-0.62272686	No	
row_38	PLSCR1	10775	-0.8375570178031921	-0.6395303	No	
row_39	TDRD7	10785	-0.8419314622879028	-0.63070303	No	
row_40	EIF2AK2	11352	-1.0567703247070312	-0.66275394	Yes	
row_41	TMEM140	11473	-1.1112207174301147	-0.6595102	Yes	
row_42	IRF7	11673	-1.220126748085022	-0.6611767	Yes	
row_43	NMI	11696	-1.230966329574585	-0.648958	Yes	
row_44	CMPK2	11788	-1.2868080139160156	-0.6414725	Yes	
row_45	CSF1	11862	-1.3419593572616577	-0.6319634	Yes	
row_46	CD47	11865	-1.343985676765442	-0.6169107	Yes	
row_47	TRIM14	11978	-1.4457303285598755	-0.6092597	Yes	
row_48	IRF9	12020	-1.4765007495880127	-0.59573996	Yes	
row_49	STAT2	12027	-1.4806838035583496	-0.57945144	Yes	
row_50	SP110	12077	-1.52273690700531	-0.56603056	Yes	
row_51	PARP14	12103	-1.5496861934661865	-0.5504386	Yes	
row_52	RNF31	12216	-1.6767581701278687	-0.54017335	Yes	
row_53	IFIH1	12282	-1.7663902044296265	-0.5252394	Yes	
row_54	B2M	12283	-1.7677547931671143	-0.50523597	Yes	
row_55	SAMD9	12284	-1.7678396701812744	-0.4852316	Yes	
row_56	UBE2L6	12349	-1.8850187063217163	-0.46887752	Yes	
row_57	RSAD2	12471	-2.1817893981933594	-0.4535973	Yes	
row_58	TAP1	12505	-2.2526862621307373	-0.4306724	Yes	
row_59	OAS1	12577	-2.4615728855133057	-0.4083385	Yes	
row_60	OASL	12599	-2.536135196685791	-0.38127312	Yes	
row_61	LY6E	12662	-2.814222574234009	-0.35424894	Yes	
row_62	IRF1	12701	-3.020277261734009	-0.32302698	Yes	
row_63	BST2	12735	-3.1607353687286377	-0.28982687	Yes	
row_64	IFIT2	12743	-3.2353949546813965	-0.2537603	Yes	
row_65	MOV10	12760	-3.3504884243011475	-0.21709117	Yes	
row_66	CD74	12832	-4.270791530609131	-0.17428464	Yes	
row_67	IFIT3	12867	-4.827980995178223	-0.122296184	Yes	
row_68	IFI30	12886	-5.297146320343018	-0.063754715	Yes	
row_69	LGALS3BP	12902	-5.929649353027344	0.0021772503	Yes	
