NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MVP	152	3.5448524951934814	0.013710648	No	
row_1	TAPBP	170	3.380462646484375	0.03677385	No	
row_2	PFKP	376	2.4175145626068115	0.038213275	No	
row_3	PTPN1	511	2.0488085746765137	0.042535007	No	
row_4	MT2A	587	1.898754358291626	0.05037986	No	
row_5	IFI35	902	1.426879644393921	0.036162805	No	
row_6	ST3GAL5	907	1.4155032634735107	0.046063513	No	
row_7	ISG20	1347	1.0365118980407715	0.019271923	No	
row_8	METTL7B	1434	0.9741202592849731	0.01958677	No	
row_9	VAMP8	1686	0.8255073428153992	0.0059488	No	
row_10	PTPN6	1794	0.7747662663459778	0.0031859477	No	
row_11	PSME2	1902	0.7204151749610901	3.0948053E-5	No	
row_12	IFI27	2056	0.6519251465797424	-0.0072091566	No	
row_13	NUP93	2450	0.4928469657897949	-0.034332383	No	
row_14	ITGB7	2602	0.4422357976436615	-0.042929288	No	
row_15	PIM1	2620	0.43490371108055115	-0.04111851	No	
row_16	ADAR	2975	0.34722456336021423	-0.06624792	No	
row_17	SRI	3084	0.3225252032279968	-0.07235179	No	
row_18	ISG15	3119	0.31470879912376404	-0.07273532	No	
row_19	TRIM26	3183	0.2991478741168976	-0.075494975	No	
row_20	SLC25A28	3316	0.2719539999961853	-0.083837256	No	
row_21	NFKB1	3588	0.22453215718269348	-0.10337259	No	
row_22	BPGM	3769	0.1959776133298874	-0.116010115	No	
row_23	CMTR1	4057	0.15645650029182434	-0.13728565	No	
row_24	IFNAR2	4229	0.13318023085594177	-0.14967369	No	
row_25	IFITM2	4520	0.09291279315948486	-0.17164187	No	
row_26	IFITM3	4829	0.06008761748671532	-0.19525205	No	
row_27	RNF213	5033	0.04133443906903267	-0.21080081	No	
row_28	ARID5B	5102	0.034473173320293427	-0.21586044	No	
row_29	RAPGEF6	5150	0.029498355463147163	-0.21931662	No	
row_30	ARL4A	5267	0.01724817603826523	-0.2282476	No	
row_31	PML	5453	0.0013986347476020455	-0.24267934	No	
row_32	HIF1A	5619	-0.013869721442461014	-0.25545985	No	
row_33	CASP3	5733	-0.023506678640842438	-0.26411146	No	
row_34	TRIM25	5751	-0.025907589122653008	-0.26525164	No	
row_35	TXNIP	6415	-0.08978527784347534	-0.31636027	No	
row_36	NOD1	6704	-0.11966182291507721	-0.33797932	No	
row_37	PSMA2	6808	-0.13044914603233337	-0.34507874	No	
row_38	RBCK1	6915	-0.1416122019290924	-0.35233176	No	
row_39	IL18BP	6990	-0.14886917173862457	-0.3570344	No	
row_40	C1R	7030	-0.15410982072353363	-0.35896698	No	
row_41	TRAFD1	7302	-0.1827349066734314	-0.37880388	No	
row_42	IRF5	7430	-0.19650119543075562	-0.38730025	No	
row_43	CCL5	7685	-0.22855009138584137	-0.4054795	No	
row_44	LATS2	7742	-0.236556738615036	-0.4081443	No	
row_45	C1S	7782	-0.24045327305793762	-0.4094539	No	
row_46	HERC6	8063	-0.27331292629241943	-0.42933986	No	
row_47	MTHFD2	8131	-0.2858247458934784	-0.4325079	No	
row_48	BATF2	8380	-0.31875374913215637	-0.44956794	No	
row_49	RIPK1	8492	-0.33412542939186096	-0.45582232	No	
row_50	EIF4E3	8549	-0.34283143281936646	-0.45772034	No	
row_51	BTG1	8559	-0.3434523046016693	-0.4559449	No	
row_52	SERPING1	8595	-0.35260292887687683	-0.45613307	No	
row_53	IL15RA	8638	-0.36000901460647583	-0.45681426	No	
row_54	TNFSF10	8933	-0.40799224376678467	-0.4768214	No	
row_55	PELI1	9191	-0.4550398588180542	-0.4936007	No	
row_56	PARP12	9227	-0.46330833435058594	-0.49299014	No	
row_57	TNFAIP3	9389	-0.4959993064403534	-0.50197977	No	
row_58	LAP3	9396	-0.4970244765281677	-0.4988621	No	
row_59	CASP4	9427	-0.503186047077179	-0.49757347	No	
row_60	SSPN	9477	-0.5125295519828796	-0.49770066	No	
row_61	TRIM21	9504	-0.5179596543312073	-0.49599323	No	
row_62	OGFR	9545	-0.5258991122245789	-0.49532136	No	
row_63	MX2	9561	-0.527507483959198	-0.49268633	No	
row_64	RIPK2	9688	-0.5522928833961487	-0.49853757	No	
