NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PAX5	759	1.6088693141937256	-0.035629816	No	
row_1	FAM3A	997	1.3407748937606812	-0.034587827	No	
row_2	PGLYRP2	1589	0.8763362169265747	-0.06779409	No	
row_3	TRAF3IP2	2085	0.6381257772445679	-0.096997656	No	
row_4	RARRES2	2093	0.6356121301651001	-0.08831711	No	
row_5	ZP3	2232	0.5747063159942627	-0.090699986	No	
row_6	ROMO1	2397	0.512450098991394	-0.09600672	No	
row_7	SLC11A1	2523	0.47053200006484985	-0.09889127	No	
row_8	SFTPD	2956	0.35110998153686523	-0.12736474	No	
row_9	RGCC	3633	0.21705542504787445	-0.176744	No	
row_10	BCL2	3911	0.17652057111263275	-0.1957068	No	
row_11	HMGN2	3945	0.1715528517961502	-0.1957814	No	
row_12	CFD	4294	0.12399420887231827	-0.22102362	No	
row_13	KRT1	4486	0.09733438491821289	-0.2344529	No	
row_14	KRT6A	4565	0.08830474317073822	-0.23923244	No	
row_15	ANG	4622	0.08303211629390717	-0.24237895	No	
row_16	PDZD11	5140	0.03025779500603676	-0.28211388	No	
row_17	C5	5663	-0.01805785484611988	-0.3224144	No	
row_18	DEFB1	5978	-0.044751595705747604	-0.34616467	No	
row_19	MASP2	5994	-0.046517785638570786	-0.34665516	No	
row_20	ATP7A	6038	-0.05118304863572121	-0.3492537	No	
row_21	RPS19	6062	-0.05438495799899101	-0.35025167	No	
row_22	CXCL14	6116	-0.05904021114110947	-0.35351327	No	
row_23	COLEC10	6380	-0.08698870241641998	-0.37268752	No	
row_24	TFEB	6578	-0.10603705048561096	-0.38645673	No	
row_25	CHGA	6584	-0.10640847682952881	-0.385301	No	
row_26	TFE3	6680	-0.11777344346046448	-0.39097387	No	
row_27	TNFRSF21	6854	-0.13522876799106598	-0.40245447	No	
row_28	C8G	6973	-0.14758189022541046	-0.40948197	No	
row_29	C1R	7030	-0.15410982072353363	-0.41159695	No	
row_30	CFP	7290	-0.18188795447349548	-0.42908314	No	
row_31	C1S	7782	-0.24045327305793762	-0.4637472	No	
row_32	PI3	7900	-0.2548815906047821	-0.46913978	No	
row_33	POU2F2	7918	-0.2571290135383606	-0.46672913	No	
row_34	WFDC2	8142	-0.2873721420764923	-0.47988704	No	
row_35	BPIFA2	8354	-0.31555795669555664	-0.49170342	No	
row_36	PLA2G2A	8557	-0.3434053063392639	-0.5024163	No	
row_37	RPL39	8659	-0.3633606433868408	-0.50499123	No	
row_38	BPIFA1	8764	-0.38051900267601013	-0.5075503	No	
row_39	C2	9455	-0.5089071393013	-0.55378187	No	
row_40	BLNK	9731	-0.5623157620429993	-0.5669903	No	
row_41	GPI	9926	-0.6062882542610168	-0.5732664	No	
row_42	YTHDF2	10065	-0.6423116326332092	-0.5746681	No	
row_43	CD83	10463	-0.7385497689247131	-0.59479904	No	
row_44	ALOX5	10797	-0.8473694920539856	-0.6083775	No	
row_45	SLPI	10834	-0.8593516945838928	-0.5987034	No	
row_46	PSMB10	11077	-0.9356939792633057	-0.60392874	No	
row_47	PGLYRP4	11440	-1.0986895561218262	-0.61611336	Yes	
row_48	ST6GAL1	11584	-1.1672850847244263	-0.6102848	Yes	
row_49	GAPDH	11691	-1.2298190593719482	-0.6006736	Yes	
row_50	PLA2G6	11927	-1.3965516090393066	-0.5986667	Yes	
row_51	C3	12138	-1.5888731479644775	-0.5919261	Yes	
row_52	S100A12	12207	-1.6708451509475708	-0.57296157	Yes	
row_53	RPL30	12463	-2.165382146835327	-0.56135094	Yes	
row_54	CLU	12651	-2.755368947982788	-0.535894	Yes	
row_55	S100A7	12689	-2.955589532852173	-0.4958754	Yes	
row_56	CD81	12782	-3.524233102798462	-0.451878	Yes	
row_57	CFB	12835	-4.289989471435547	-0.39365917	Yes	
row_58	S100A8	12884	-5.273130893707275	-0.3208614	Yes	
row_59	LCN2	12920	-7.185288429260254	-0.21930279	Yes	
row_60	BPIFB1	12921	-7.273703575134277	-0.113741316	Yes	
row_61	S100A9	12927	-7.880161762237549	2.330012E-4	Yes	
