NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TGFB2	1438	0.9731754660606384	-0.09101506	No	
row_1	HSD3B7	1655	0.8384741544723511	-0.090022296	No	
row_2	ANXA1	2172	0.601643979549408	-0.117334306	No	
row_3	PDGFB	2287	0.5527142882347107	-0.114476405	No	
row_4	PPIB	2548	0.45958107709884644	-0.124924876	No	
row_5	CKLF	2920	0.35937967896461487	-0.14611246	No	
row_6	SFTPD	2956	0.35110998153686523	-0.1413923	No	
row_7	MSMP	3538	0.2317183017730713	-0.18158579	No	
row_8	PPIA	4119	0.1473972350358963	-0.22348773	No	
row_9	ITGB2	4315	0.11987264454364777	-0.23608601	No	
row_10	ADGRE2	4547	0.09023446589708328	-0.2521067	No	
row_11	LYST	4756	0.06825718283653259	-0.26680744	No	
row_12	GBF1	5062	0.03852762281894684	-0.28966781	No	
row_13	CCR1	5369	0.00999746099114418	-0.31321013	No	
row_14	FFAR2	5602	-0.012023010291159153	-0.33096507	No	
row_15	RPS19	6062	-0.05438495799899101	-0.3654442	No	
row_16	SLC12A2	6209	-0.06832260638475418	-0.3753307	No	
row_17	ADAM8	6383	-0.0874950960278511	-0.38690698	No	
row_18	CHGA	6584	-0.10640847682952881	-0.40017858	No	
row_19	TRPM4	6618	-0.11060904711484909	-0.40039742	No	
row_20	PIP5K1C	6772	-0.1261008381843567	-0.40960342	No	
row_21	EDN2	6840	-0.1336546093225479	-0.41197342	No	
row_22	CCL5	7685	-0.22855009138584137	-0.4726501	No	
row_23	EDN1	7705	-0.2317618429660797	-0.46921593	No	
row_24	TNFRSF11A	7833	-0.24646317958831787	-0.47385412	No	
row_25	CCR7	7872	-0.2520899176597595	-0.47146425	No	
row_26	SYK	7893	-0.25393691658973694	-0.467638	No	
row_27	TRPM2	8081	-0.2766803205013275	-0.47629377	No	
row_28	PIK3CD	8478	-0.3318382203578949	-0.5000054	No	
row_29	HMGB1	8550	-0.3428354263305664	-0.49825516	No	
row_30	PIKFYVE	9213	-0.4609774351119995	-0.5398804	No	
row_31	SBDS	9982	-0.6191873550415039	-0.586383	No	
row_32	SRP54	10533	-0.7589293122291565	-0.6130028	No	
row_33	ALOX5	10797	-0.8473694920539856	-0.61547005	No	
row_34	IL16	11081	-0.9366225004196167	-0.61759937	Yes	
row_35	CX3CL1	11157	-0.963221549987793	-0.60301876	Yes	
row_36	BSG	11272	-1.0167474746704102	-0.5903318	Yes	
row_37	CXCR4	11329	-1.041946291923523	-0.5726087	Yes	
row_38	CCL22	11755	-1.2605401277542114	-0.57890004	Yes	
row_39	SAA1	11971	-1.4379397630691528	-0.5651319	Yes	
row_40	LGALS3	11996	-1.459742546081543	-0.53607506	Yes	
row_41	CXCL16	12111	-1.5552804470062256	-0.511981	Yes	
row_42	S100A12	12207	-1.6708451509475708	-0.4839642	Yes	
row_43	GAS6	12490	-2.2171967029571533	-0.4588911	Yes	
row_44	CXCL17	12569	-2.438441276550293	-0.4132956	Yes	
row_45	IL6R	12765	-3.3818788528442383	-0.35679883	Yes	
row_46	MDK	12833	-4.285038471221924	-0.27123526	Yes	
row_47	S100A8	12884	-5.273130893707275	-0.16342245	Yes	
row_48	S100A9	12927	-7.880161762237549	2.3287615E-4	Yes	
