NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFB2	159	3.4740045070648193	0.04861444	Yes	
row_1	COA3	427	2.2478785514831543	0.06729395	Yes	
row_2	BCS1L	453	2.1891696453094482	0.103782736	Yes	
row_3	NDUFS3	478	2.1295905113220215	0.13930334	Yes	
row_4	SDHAF2	523	2.0205624103546143	0.17135271	Yes	
row_5	AIFM1	529	2.008622884750366	0.20622869	Yes	
row_6	COX14	536	1.9981671571731567	0.24084322	Yes	
row_7	NDUFB10	615	1.848651647567749	0.26722744	Yes	
row_8	NDUFB1	649	1.7805413007736206	0.29591915	Yes	
row_9	PET100	652	1.7782585620880127	0.3269842	Yes	
row_10	TIMMDC1	721	1.6685271263122559	0.35098448	Yes	
row_11	NDUFS2	757	1.6120244264602661	0.37656185	Yes	
row_12	NDUFV3	841	1.5054361820220947	0.39653102	Yes	
row_13	LYRM7	944	1.3820202350616455	0.4128542	Yes	
row_14	NDUFA2	991	1.3455021381378174	0.4328959	Yes	
row_15	UQCC3	1211	1.147110939025879	0.4359862	Yes	
row_16	NDUFAF2	1275	1.0947275161743164	0.4503016	Yes	
row_17	NDUFAF8	1478	0.9478305578231812	0.4512166	Yes	
row_18	NDUFC1	1566	0.8898970484733582	0.4600674	Yes	
row_19	NDUFS6	1603	0.8694355487823486	0.47252935	Yes	
row_20	COX17	1609	0.8664690256118774	0.4873526	Yes	
row_21	NDUFAF1	1644	0.8422709107398987	0.49949336	Yes	
row_22	FOXRED1	1689	0.8242232799530029	0.5105387	Yes	
row_23	UQCC2	1719	0.8125591278076172	0.52254707	Yes	
row_24	NDUFA11	1801	0.7708446979522705	0.5297747	Yes	
row_25	NDUFB11	2284	0.5542161464691162	0.5019807	No	
row_26	NDUFS7	2407	0.5079421401023865	0.50140077	No	
row_27	NDUFA13	2429	0.5008888244628906	0.50855994	No	
row_28	ECSIT	2576	0.4505552649497986	0.50510406	No	
row_29	NDUFA8	2836	0.37786880135536194	0.49157476	No	
row_30	NDUFS8	2923	0.3586203455924988	0.4911758	No	
row_31	TTC19	3373	0.2607760429382324	0.460799	No	
row_32	SCO1	3411	0.25292110443115234	0.462359	No	
row_33	COX16	3527	0.2336306869983673	0.45750794	No	
row_34	COX20	3551	0.230110764503479	0.4597574	No	
row_35	TAZ	3645	0.21552306413650513	0.45630115	No	
row_36	COX19	3658	0.21301239728927612	0.45910677	No	
row_37	NDUFB7	3694	0.20841392874717712	0.46004108	No	
row_38	SURF1	3727	0.20330077409744263	0.46111917	No	
row_39	NDUFB8	3841	0.1864384412765503	0.45559525	No	
row_40	NDUFB9	3860	0.18392419815063477	0.4574231	No	
row_41	COA1	4170	0.14056415855884552	0.4358349	No	
row_42	NDUFA3	4270	0.12694546580314636	0.43035638	No	
row_43	NUBPL	4359	0.11337849497795105	0.42549604	No	
row_44	TIMM21	4500	0.09546266496181488	0.4162729	No	
row_45	NDUFS5	4647	0.08026070892810822	0.40631574	No	
row_46	CHCHD4	4709	0.07349584251642227	0.40285718	No	
row_47	SDHAF4	4742	0.06986057013273239	0.40159246	No	
row_48	SDHAF1	4848	0.05869102478027344	0.39444852	No	
row_49	NDUFAB1	4988	0.04568912088871002	0.38442934	No	
row_50	PET117	5032	0.04160504415631294	0.38181219	No	
row_51	NDUFA5	5129	0.031893789768218994	0.37489843	No	
row_52	TMEM126A	5236	0.019786009564995766	0.36699358	No	
row_53	NDUFAF5	5370	0.00973814632743597	0.3568103	No	
row_54	SLC25A33	5396	0.006834872532635927	0.35498402	No	
row_55	NDUFAF6	5457	0.0010651479242369533	0.35033166	No	
row_56	NDUFA6	5489	-0.0017619617283344269	0.3479492	No	
row_57	NDUFA1	5709	-0.021859560161828995	0.33128354	No	
row_58	COA5	6006	-0.047596562653779984	0.3090752	No	
row_59	NDUFAF7	6041	-0.05140240490436554	0.30733073	No	
row_60	NDUFV1	6158	-0.06243632733821869	0.29939616	No	
row_61	COX18	6241	-0.07149767875671387	0.29426762	No	
row_62	SAMM50	6504	-0.097028948366642	0.27557412	No	
row_63	NDUFS1	6589	-0.10733318328857422	0.27091905	No	
row_64	TMEM126B	6921	-0.14212441444396973	0.24764554	No	
row_65	NDUFB3	6967	-0.14727628231048584	0.24672794	No	
row_66	NDUFA9	7389	-0.1925015151500702	0.21733227	No	
row_67	SMIM20	7419	-0.19524332880973816	0.21850246	No	
