NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PGK1	1	10.262187957763672	0.18637814	Yes	
row_1	PKM	53	4.885618686676025	0.27118814	Yes	
row_2	HK1	80	4.308542251586914	0.3474532	Yes	
row_3	AKR1A1	128	3.7421486377716064	0.41179767	Yes	
row_4	TKFC	257	2.9444034099578857	0.45536187	Yes	
row_5	ENO2	275	2.850597381591797	0.5058357	Yes	
row_6	PFKP	376	2.4175145626068115	0.54199964	Yes	
row_7	KHK	763	1.6035981178283691	0.54118073	Yes	
row_8	CRYL1	1079	1.2604559659957886	0.5396371	Yes	
row_9	FOXK2	1242	1.1216356754302979	0.5474445	Yes	
row_10	TPI1	1255	1.111706256866455	0.5667121	Yes	
row_11	ALDOC	1297	1.0790245532989502	0.58313537	Yes	
row_12	HK2	1708	0.8183483481407166	0.5661866	Yes	
row_13	ENO3	1814	0.764517605304718	0.5719289	Yes	
row_14	GALM	1877	0.7309774160385132	0.58039874	Yes	
row_15	PFKM	1905	0.7164685726165771	0.5913211	Yes	
row_16	PGAM2	2424	0.5023170709609985	0.56024915	No	
row_17	GLYCTK	2554	0.45871859788894653	0.5585728	No	
row_18	DHDH	2592	0.4457034468650818	0.56379956	No	
row_19	GAPDHS	2825	0.38082727789878845	0.5527149	No	
row_20	GALK1	2909	0.3620441257953644	0.55285186	No	
row_21	FUT10	3153	0.3046096861362457	0.53952867	No	
row_22	DCXR	3353	0.2643829584121704	0.5288892	No	
row_23	FUT1	3648	0.21521161496639252	0.50998396	No	
row_24	FOXK1	3650	0.2146613746881485	0.5138066	No	
row_25	FUT8	3830	0.1881323605775833	0.50333375	No	
row_26	XYLB	4228	0.13326102495193481	0.47494635	No	
row_27	FUT2	6270	-0.07425288110971451	0.3179065	No	
row_28	LRP5	6410	-0.08967317640781403	0.3087489	No	
row_29	NUDT5	6655	-0.11509770154953003	0.29190484	No	
row_30	ALDOA	6746	-0.12362020462751389	0.2871666	No	
row_31	FUT4	7256	-0.1770896464586258	0.25088394	No	
row_32	GALE	7729	-0.23462806642055511	0.21851805	No	
row_33	FUT7	8160	-0.2892322540283203	0.19040363	No	
row_34	RPE	8404	-0.32129359245300293	0.1773836	No	
row_35	PGAM1	8819	-0.3891074061393738	0.15232547	No	
row_36	FUT9	9153	-0.4472583532333374	0.1346098	No	
row_37	GALT	9745	-0.5640656352043152	0.098994695	No	
row_38	GPI	9926	-0.6062882542610168	0.09604181	No	
row_39	PGM2	10281	-0.6895647048950195	0.08109898	No	
row_40	ENO1	11417	-1.0889633893966675	0.012804484	No	
row_41	GAPDH	11691	-1.2298190593719482	0.013963528	No	
row_42	SORD	11744	-1.2567784786224365	0.0327628	No	
row_43	PGM2L1	11958	-1.4254425764083862	0.04213238	No	
row_44	PFKL	12326	-1.8284109830856323	0.046872623	No	
