NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CSRP1	95	4.051644325256348	0.087927125	No	
row_1	HEY2	1160	1.1875996589660645	0.03325943	No	
row_2	KRT19	2294	0.5505096912384033	-0.041750554	No	
row_3	TPM1	3075	0.3237653374671936	-0.09468929	No	
row_4	NEB	3127	0.31179195642471313	-0.09131467	No	
row_5	TNNT1	3164	0.30271849036216736	-0.08698898	No	
row_6	MYOF	3498	0.23892322182655334	-0.10722108	No	
row_7	FHOD3	3634	0.21686340868473053	-0.112600595	No	
row_8	MYH3	3687	0.20906037092208862	-0.111720055	No	
row_9	TBX3	3883	0.1795540153980255	-0.12263518	No	
row_10	KDM1A	4037	0.15837058424949646	-0.13078797	No	
row_11	CAV2	4099	0.15041296184062958	-0.13198562	No	
row_12	CFLAR	4106	0.14920856058597565	-0.12894176	No	
row_13	MYH11	4215	0.13508261740207672	-0.1341488	No	
row_14	CHRNB1	4352	0.1142289936542511	-0.1420201	No	
row_15	EFEMP2	4353	0.1140323132276535	-0.13933785	No	
row_16	TMOD4	4584	0.08702293783426285	-0.15514667	No	
row_17	SHOX2	4688	0.07618269324302673	-0.16135098	No	
row_18	ENG	4880	0.05556999146938324	-0.1748719	No	
row_19	TMOD3	4933	0.05135296657681465	-0.17770095	No	
row_20	TCAP	4955	0.049333490431308746	-0.17817084	No	
row_21	PDLIM5	4968	0.048208579421043396	-0.17796849	No	
row_22	MAML1	5108	0.03399233892560005	-0.18796001	No	
row_23	CSRP2	5125	0.03257526084780693	-0.18843591	No	
row_24	TMOD1	5269	0.01710868999361992	-0.19913511	No	
row_25	TTN	5411	0.0052926004864275455	-0.20995697	No	
row_26	SLC8A1	5563	-0.00891085620969534	-0.22147007	No	
row_27	DYSF	5921	-0.039819926023483276	-0.24824867	No	
row_28	WDR1	6218	-0.0692351907491684	-0.2695997	No	
row_29	TMOD2	6328	-0.08027386665344238	-0.2761736	No	
row_30	TNNT2	6424	-0.09059339016675949	-0.28141788	No	
row_31	RYR1	6649	-0.1144179105758667	-0.2961165	No	
row_32	FER1L5	6919	-0.14177916944026947	-0.31366506	No	
row_33	NEBL	7909	-0.2559297978878021	-0.38442487	No	
row_34	BMPR1A	9362	-0.4905714988708496	-0.48560986	No	
row_35	BIN1	9463	-0.5104696154594421	-0.481366	No	
row_36	PGM5	9614	-0.5389590859413147	-0.48033375	No	
row_37	SIX1	9787	-0.5737063884735107	-0.4801921	No	
row_38	MEF2A	10794	-0.8466869592666626	-0.5383759	No	
row_39	SDC1	12104	-1.5501803159713745	-0.6035353	Yes	
row_40	FLII	12168	-1.622541904449463	-0.570261	Yes	
row_41	SIX4	12255	-1.7257969379425049	-0.53634346	Yes	
row_42	HES1	12356	-1.9094018936157227	-0.49919412	Yes	
row_43	SELENON	12367	-1.9354323148727417	-0.45444542	Yes	
row_44	OBSCN	12387	-1.9842166900634766	-0.40924793	Yes	
row_45	SKI	12535	-2.3297648429870605	-0.36585963	Yes	
row_46	ALPK3	12564	-2.4284377098083496	-0.31091192	Yes	
row_47	VEGFA	12700	-3.007474899291992	-0.250651	Yes	
row_48	NOTCH1	12881	-5.149000644683838	-0.14351083	Yes	
row_49	OBSL1	12906	-6.259580612182617	0.0018631216	Yes	
