NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TGFB2	1438	0.9731754660606384	-0.08763085	No	
row_1	ANXA1	2172	0.601643979549408	-0.12970433	No	
row_2	PDGFB	2287	0.5527142882347107	-0.12496244	No	
row_3	PPIB	2548	0.45958107709884644	-0.13383543	No	
row_4	CKLF	2920	0.35937967896461487	-0.15378195	No	
row_5	SFTPD	2956	0.35110998153686523	-0.14786704	No	
row_6	MSMP	3538	0.2317183017730713	-0.1872418	No	
row_7	PPIA	4119	0.1473972350358963	-0.22861153	No	
row_8	ITGB2	4315	0.11987264454364777	-0.24079199	No	
row_9	ADGRE2	4547	0.09023446589708328	-0.25649357	No	
row_10	JAM3	4782	0.06491061300039291	-0.27305034	No	
row_11	GBF1	5062	0.03852762281894684	-0.29374635	No	
row_12	IRAK4	5365	0.01052389107644558	-0.3169149	No	
row_13	RPS19	6062	-0.05438495799899101	-0.3695693	No	
row_14	CHGA	6584	-0.10640847682952881	-0.40736967	No	
row_15	PIP5K1C	6772	-0.1261008381843567	-0.41877645	No	
row_16	EDN2	6840	-0.1336546093225479	-0.42068878	No	
row_17	UMODL1	7125	-0.1636231541633606	-0.43869793	No	
row_18	CCL5	7685	-0.22855009138584137	-0.47644395	No	
row_19	EDN1	7705	-0.2317618429660797	-0.47222131	No	
row_20	TNFRSF11A	7833	-0.24646317958831787	-0.4760153	No	
row_21	CCR7	7872	-0.2520899176597595	-0.47276694	No	
row_22	SYK	7893	-0.25393691658973694	-0.46807685	No	
row_23	PIK3CD	8478	-0.3318382203578949	-0.50522345	No	
row_24	PIKFYVE	9213	-0.4609774351119995	-0.550832	No	
row_25	GP2	9318	-0.4811343550682068	-0.5470737	No	
row_26	SRP54	10533	-0.7589293122291565	-0.6225941	No	
row_27	CX3CL1	11157	-0.963221549987793	-0.6472472	Yes	
row_28	BSG	11272	-1.0167474746704102	-0.6310998	Yes	
row_29	CCL22	11755	-1.2605401277542114	-0.6375072	Yes	
row_30	CD47	11865	-1.343985676765442	-0.6129286	Yes	
row_31	SAA1	11971	-1.4379397630691528	-0.5857305	Yes	
row_32	LGALS3	11996	-1.459742546081543	-0.551713	Yes	
row_33	S100A12	12207	-1.6708451509475708	-0.52693546	Yes	
row_34	SIRPA	12511	-2.263408660888672	-0.49480754	Yes	
row_35	CXCL17	12569	-2.438441276550293	-0.43929437	Yes	
row_36	P2RX4	12579	-2.4641785621643066	-0.37942508	Yes	
row_37	IL6R	12765	-3.3818788528442383	-0.3106524	Yes	
row_38	S100A8	12884	-5.273130893707275	-0.19019692	Yes	
row_39	S100A9	12927	-7.880161762237549	2.3280983E-4	Yes	
