NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PARN	231	3.066998243331909	0.084599756	Yes	
row_1	EXOSC6	243	3.0078823566436768	0.18428057	Yes	
row_2	INTS5	263	2.911799430847168	0.2801297	Yes	
row_3	EXOSC2	282	2.8001961708068848	0.37232623	Yes	
row_4	ELAC2	425	2.2543394565582275	0.43666446	Yes	
row_5	EXOSC7	624	1.829846739768982	0.48247296	Yes	
row_6	EXOSC5	726	1.6622579097747803	0.5302006	Yes	
row_7	HSD17B10	786	1.5798090696334839	0.5784288	Yes	
row_8	SSB	1219	1.140560507774353	0.5830567	Yes	
row_9	TUT1	1394	0.9985976219177246	0.60294276	Yes	
row_10	ERI3	1625	0.8546619415283203	0.61367625	Yes	
row_11	DKC1	2044	0.6580970883369446	0.6032639	No	
row_12	USB1	2793	0.3869231641292572	0.55820274	No	
row_13	INTS12	3343	0.2664748430252075	0.5245445	No	
row_14	EXOSC4	3879	0.18055039644241333	0.4890998	No	
row_15	EXOSC9	4083	0.15320461988449097	0.47848153	No	
row_16	FBL	4289	0.12432607263326645	0.46674302	No	
row_17	EXOSC8	4374	0.11142168939113617	0.46395445	No	
row_18	RPS21	4987	0.04590040072798729	0.41803938	No	
row_19	TRMT10C	5077	0.03662309795618057	0.41236317	No	
row_20	LARP7	5523	-0.005317778792232275	0.37803942	No	
row_21	TRNT1	6547	-0.10241809487342834	0.30214795	No	
row_22	EXOSC3	6664	-0.11614659428596497	0.29703632	No	
row_23	TOE1	6794	-0.1291067749261856	0.29134998	No	
row_24	INTS8	7482	-0.2026502788066864	0.24485916	No	
row_25	INTS7	8899	-0.40260955691337585	0.14853127	No	
row_26	ERI2	9432	-0.5044675469398499	0.12414558	No	
row_27	INTS6	9445	-0.507203221321106	0.14016767	No	
row_28	EXOSC10	9734	-0.5627740621566772	0.13664845	No	
row_29	INTS2	10164	-0.6624851226806641	0.12552997	No	
row_30	INTS6L	10205	-0.6718742251396179	0.14488505	No	
row_31	INTS1	11180	-0.9728798866271973	0.101886414	No	
row_32	ERI1	11255	-1.0087532997131348	0.12986505	No	
