NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUDT16L1	51	4.927051544189453	0.2056664	Yes	
row_1	PARN	231	3.066998243331909	0.32228377	Yes	
row_2	EXOSC6	243	3.0078823566436768	0.44939926	Yes	
row_3	EXOSC2	282	2.8001961708068848	0.5655875	Yes	
row_4	EXOSC7	624	1.829846739768982	0.61702305	Yes	
row_5	EXOSC5	726	1.6622579097747803	0.6799189	Yes	
row_6	POP1	956	1.3750033378601074	0.7206789	Yes	
row_7	NUDT16	1323	1.0622483491897583	0.7375212	Yes	
row_8	EXOSC4	3879	0.18055039644241333	0.5472939	No	
row_9	EXOSC9	4083	0.15320461988449097	0.5380876	No	
row_10	DEDD2	4110	0.14812499284744263	0.5423755	No	
row_11	EXOSC8	4374	0.11142168939113617	0.526744	No	
row_12	RBM7	5359	0.010956394486129284	0.45099017	No	
row_13	DIS3	5692	-0.020221950486302376	0.426134	No	
row_14	EXOSC3	6664	-0.11614659428596497	0.35586232	No	
row_15	PELO	6827	-0.13267882168293	0.3489586	No	
row_16	DIS3L2	7816	-0.2449498027563095	0.28284997	No	
row_17	ZCCHC8	9521	-0.5204814672470093	0.17300265	No	
row_18	EXOSC10	9734	-0.5627740621566772	0.18052396	No	
row_19	XRN1	10192	-0.6683693528175354	0.1735602	No	
row_20	SND1	10972	-0.9036746025085449	0.15166537	No	
