NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF4G1	2	8.953458786010742	0.37622452	Yes	
row_1	SIRT2	102	3.978834390640259	0.5358191	Yes	
row_2	CALM3	156	3.48421049118042	0.67818254	Yes	
row_3	CALM2	640	1.7924437522888184	0.7161366	Yes	
row_4	INPP5K	947	1.3808528184890747	0.7504924	Yes	
row_5	SPRED2	2410	0.5071927905082703	0.6586205	No	
row_6	DGKQ	3076	0.32368186116218567	0.62074065	No	
row_7	PARD3	3227	0.2891099750995636	0.62128055	No	
row_8	DMTN	3564	0.22790808975696564	0.60484695	No	
row_9	SPRED3	5596	-0.011764039285480976	0.44809467	No	
row_10	SPRED1	5700	-0.020927486941218376	0.4409998	No	
row_11	SMAD7	7818	-0.24514971673488617	0.2874	No	
row_12	CADM4	9990	-0.6206514239311218	0.14540444	No	
row_13	DDIT4	10570	-0.768735945224762	0.13289191	No	
row_14	CALM1	11606	-1.1834666728973389	0.10250851	No	
