NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PGK1	1	10.262187957763672	0.176821	Yes	
row_1	PKM	53	4.885618686676025	0.25708044	Yes	
row_2	HK1	80	4.308542251586914	0.32933265	Yes	
row_3	ENO2	275	2.850597381591797	0.36341354	Yes	
row_4	ENTPD6	293	2.7374424934387207	0.40928185	Yes	
row_5	NUDT18	317	2.6560776233673096	0.4532819	Yes	
row_6	PFKP	376	2.4175145626068115	0.4904531	Yes	
row_7	BAD	441	2.20890212059021	0.52356255	Yes	
row_8	DTYMK	767	1.5986671447753906	0.5258951	Yes	
row_9	CMPK1	966	1.3675063848495483	0.5341002	Yes	
row_10	FOXK2	1242	1.1216356754302979	0.5320905	Yes	
row_11	TPI1	1255	1.111706256866455	0.5503226	Yes	
row_12	ALDOC	1297	1.0790245532989502	0.56574047	Yes	
row_13	NUDT16	1323	1.0622483491897583	0.582111	Yes	
row_14	ENTPD8	1679	0.8285261392593384	0.56883955	Yes	
row_15	HK2	1708	0.8183483481407166	0.5807729	Yes	
row_16	ENO3	1814	0.764517605304718	0.58580196	Yes	
row_17	PFKM	1905	0.7164685726165771	0.591167	Yes	
row_18	NME2	2124	0.6226471066474915	0.5849799	Yes	
row_19	ENO4	2147	0.6133630275726318	0.5938454	Yes	
row_20	AK8	2386	0.5148881077766418	0.5842485	No	
row_21	PGAM2	2424	0.5023170709609985	0.5900356	No	
row_22	GAPDHS	2825	0.38082727789878845	0.565554	No	
row_23	FOXK1	3650	0.2146613746881485	0.50529903	No	
row_24	AK1	3729	0.2028183788061142	0.50274116	No	
row_25	PGM1	3773	0.19545769691467285	0.502773	No	
row_26	PFKFB1	4857	0.05786038190126419	0.41971263	No	
row_27	ENTPD5	5286	0.015633773058652878	0.38676262	No	
row_28	ENTPD1	5364	0.010614369064569473	0.3809692	No	
row_29	PFKFB2	5443	0.002282744972035289	0.37495452	No	
row_30	ENTPD4	6118	-0.05935274809598923	0.3236647	No	
row_31	AK7	6356	-0.08351138979196548	0.30670935	No	
row_32	NUDT5	6655	-0.11509770154953003	0.28556392	No	
row_33	ALDOA	6746	-0.12362020462751389	0.28070948	No	
row_34	AK9	7650	-0.22376829385757446	0.21447983	No	
row_35	PGAM1	8819	-0.3891074061393738	0.13053216	No	
row_36	AK4	9214	-0.4610362648963928	0.1078989	No	
row_37	ADPGK	9708	-0.5565404295921326	0.07922798	No	
row_38	GPI	9926	-0.6062882542610168	0.07283652	No	
row_39	ENTPD7	10354	-0.7074025869369507	0.05188878	No	
row_40	LDHA	10849	-0.8637678623199463	0.028436197	No	
row_41	GUK1	11311	-1.0333325862884521	0.010467874	No	
row_42	ENO1	11417	-1.0889633893966675	0.021089679	No	
row_43	ENTPD2	11688	-1.2259548902511597	0.021266349	No	
row_44	GAPDH	11691	-1.2298190593719482	0.04231062	No	
row_45	CMPK2	11788	-1.2868080139160156	0.05704139	No	
row_46	PFKL	12326	-1.8284109830856323	0.04687977	No	
