NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MESP1	1138	1.203826904296875	-0.04762027	No	
row_1	TGFB2	1438	0.9731754660606384	-0.038032245	No	
row_2	STC1	2734	0.40390461683273315	-0.124722175	No	
row_3	PSAPL1	2834	0.37825965881347656	-0.11966223	No	
row_4	NDRG4	4260	0.12848961353302002	-0.22568473	No	
row_5	PDLIM5	4968	0.048208579421043396	-0.2788096	No	
row_6	TGFBR3	7235	-0.17524540424346924	-0.4483822	No	
row_7	LEPR	8136	-0.28645142912864685	-0.50843674	No	
row_8	DLL1	8512	-0.33731508255004883	-0.52612644	No	
row_9	SOX9	10511	-0.7502515316009521	-0.655601	No	
row_10	FGFR2	12177	-1.63277268409729	-0.7295984	Yes	
row_11	PSAP	12221	-1.6871055364608765	-0.6761677	Yes	
row_12	IER3IP1	12276	-1.7549407482147217	-0.6213066	Yes	
row_13	TSKU	12376	-1.9567551612854004	-0.5631403	Yes	
row_14	FGFR3	12880	-5.144474983215332	-0.4290113	Yes	
row_15	NOTCH1	12881	-5.149000644683838	-0.25578004	Yes	
row_16	ANXA6	12923	-7.713098049163818	5.420036E-4	Yes	
