NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AGR2	0	11.623252868652344	0.30808783	Yes	
row_1	NUP62	182	3.329627275466919	0.3823179	Yes	
row_2	SHKBP1	526	2.0152180194854736	0.40915474	Yes	
row_3	HAP1	736	1.650846004486084	0.43671706	Yes	
row_4	NEU3	839	1.5119287967681885	0.46888858	Yes	
row_5	DOK1	844	1.494404911994934	0.50818956	Yes	
row_6	DGKD	865	1.465240240097046	0.5454776	Yes	
row_7	GPER1	978	1.357229232788086	0.5727738	Yes	
row_8	ARAP1	1006	1.335018515586853	0.6060678	Yes	
row_9	PTK6	1507	0.9285027980804443	0.59193414	Yes	
row_10	MMP9	1514	0.9240704774856567	0.6159628	Yes	
row_11	AREG	1729	0.8080867528915405	0.62079936	Yes	
row_12	CBL	1757	0.7923470139503479	0.63970923	Yes	
row_13	FBXW7	2181	0.5973719954490662	0.62276524	No	
row_14	HIP1	2371	0.5192682147026062	0.6218836	No	
row_15	EGF	4495	0.09568210691213608	0.45990986	No	
row_16	PLAUR	5721	-0.022744670510292053	0.36558828	No	
row_17	BTC	5764	-0.02701583318412304	0.3630498	No	
row_18	HBEGF	6981	-0.148087739944458	0.272748	No	
row_19	AFAP1L2	7202	-0.17154492437839508	0.26024735	No	
row_20	AKT1	8422	-0.3245840072631836	0.1743913	No	
row_21	TGFA	9265	-0.47040456533432007	0.12161388	No	
row_22	CNOT9	10476	-0.7425122857093811	0.047532924	No	
row_23	BCAR3	11339	-1.0491076707839966	0.00854492	No	
row_24	HIP1R	12203	-1.6615943908691406	-0.014285897	No	
row_25	ADAM17	12628	-2.6613893508911133	0.023401834	No	
