NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SHISA5	30	5.870267391204834	0.061604213	No	
row_1	LGALS1	226	3.1110808849334717	0.08033445	No	
row_2	STC2	251	2.965791940689087	0.11077105	No	
row_3	NUCB1	492	2.0993831157684326	0.114985414	No	
row_4	TIMP1	808	1.5536600351333618	0.10742765	No	
row_5	IGFBP4	1454	0.9599452018737793	0.067758486	No	
row_6	LAMB2	1564	0.8900181651115417	0.068981424	No	
row_7	QSOX1	1733	0.8050316572189331	0.06469373	No	
row_8	GOLM1	1745	0.7998132705688477	0.07255	No	
row_9	PRSS23	2083	0.6386600136756897	0.05331692	No	
row_10	WFS1	2133	0.6193837523460388	0.056254994	No	
row_11	MEN1	2581	0.44946417212486267	0.02641297	No	
row_12	FUCA2	2677	0.41834643483161926	0.023586703	No	
row_13	SERPIND1	3169	0.3011005222797394	-0.011290551	No	
row_14	DMP1	3328	0.2703242599964142	-0.020624856	No	
row_15	MELTF	3413	0.25265181064605713	-0.024400938	No	
row_16	TGOLN2	3472	0.24358785152435303	-0.026255224	No	
row_17	PRKCSH	3689	0.20879127085208893	-0.040767014	No	
row_18	BMP4	4051	0.15730100870132446	-0.06710787	No	
row_19	CST3	4159	0.1433883160352707	-0.07386137	No	
row_20	APOE	4458	0.10067302733659744	-0.09592312	No	
row_21	MBTPS1	4545	0.09067761898040771	-0.10161875	No	
row_22	MATN3	4868	0.056908972561359406	-0.12602225	No	
row_23	SDC2	5008	0.04331048205494881	-0.13635252	No	
row_24	FAM20A	5331	0.012649621814489365	-0.16123806	No	
row_25	FSTL3	5812	-0.030868209898471832	-0.1982037	No	
row_26	FN1	6200	-0.06742151081562042	-0.22754398	No	
row_27	MFGE8	6359	-0.08403141796588898	-0.23890728	No	
row_28	MSLN	6606	-0.10944468528032303	-0.25683245	No	
row_29	HRC	6737	-0.12302295863628387	-0.26559514	No	
row_30	DNAJC3	6853	-0.13517870008945465	-0.27305976	No	
row_31	MXRA8	7760	-0.23793861269950867	-0.34087548	No	
row_32	RCN1	7906	-0.2556682527065277	-0.34935915	No	
row_33	GPC3	8608	-0.35494935512542725	-0.39996946	No	
row_34	MIA3	9331	-0.4831934869289398	-0.45081496	No	
row_35	ANO8	10938	-0.8945513367652893	-0.56587774	No	
row_36	ADAM10	11298	-1.0269585847854614	-0.58259135	Yes	
row_37	PDIA6	11371	-1.0648138523101807	-0.5765893	Yes	
row_38	LAMC1	11377	-1.0668866634368896	-0.565358	Yes	
row_39	IGFBP5	11460	-1.1071208715438843	-0.55967224	Yes	
row_40	AMTN	11751	-1.2598768472671509	-0.56848687	Yes	
row_41	CSF1	11862	-1.3419593572616577	-0.5624194	Yes	
row_42	HSP90B1	11899	-1.3742132186889648	-0.5502499	Yes	
row_43	C3	12138	-1.5888731479644775	-0.5514403	Yes	
row_44	APP	12169	-1.622723937034607	-0.5360979	Yes	
row_45	APLP2	12171	-1.6251078844070435	-0.51847583	Yes	
row_46	CKAP4	12384	-1.9784611463546753	-0.5134026	Yes	
row_47	IGFBP3	12393	-1.9951393604278564	-0.49229434	Yes	
row_48	FBN1	12402	-2.031801223754883	-0.47078684	Yes	
row_49	P4HB	12415	-2.0613462924957275	-0.44926837	Yes	
row_50	MGAT4A	12443	-2.1192922592163086	-0.4282845	Yes	
row_51	CALU	12481	-2.1943702697753906	-0.40726003	Yes	
row_52	GAS6	12490	-2.2171967029571533	-0.3837333	Yes	
row_53	LTBP1	12493	-2.228527545928955	-0.35961688	Yes	
row_54	APOL1	12593	-2.5184998512268066	-0.33988032	Yes	
row_55	VGF	12600	-2.54048490524292	-0.31267712	Yes	
row_56	KTN1	12633	-2.680111885070801	-0.28597367	Yes	
row_57	PNPLA2	12759	-3.3456876277923584	-0.25924838	Yes	
row_58	VWA1	12781	-3.5169482231140137	-0.22257575	Yes	
row_59	SERPINA1	12831	-4.197160243988037	-0.18067059	Yes	
row_60	LAMB1	12842	-4.435329437255859	-0.13314065	Yes	
row_61	TMEM132A	12904	-6.134308338165283	-0.07106974	Yes	
row_62	FAM20C	12917	-6.7036638259887695	0.0010101659	Yes	
