NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RFNG	2773	0.391972154378891	-0.19856898	No	
row_1	MFNG	3117	0.3152253031730652	-0.21213402	No	
row_2	ST3GAL3	5891	-0.03722739592194557	-0.4253275	No	
row_3	NOTCH4	6474	-0.09406670928001404	-0.46651694	No	
row_4	ATP2A1	6478	-0.09451159089803696	-0.46285295	No	
row_5	ATP2A2	6856	-0.13543125987052917	-0.48646286	No	
row_6	NOTCH3	7447	-0.1980155110359192	-0.52398646	No	
row_7	NOTCH2	9410	-0.4995781481266022	-0.6553193	No	
row_8	SEL1L	9689	-0.5525329113006592	-0.65406793	No	
row_9	RAB6A	10461	-0.7378516793251038	-0.68335235	No	
row_10	FURIN	11462	-1.1073020696640015	-0.7151387	Yes	
row_11	TMED2	12135	-1.5864708423614502	-0.70177233	Yes	
row_12	B4GALT1	12670	-2.868987798690796	-0.62484765	Yes	
row_13	LFNG	12744	-3.238172769546509	-0.49700546	Yes	
row_14	ST3GAL4	12780	-3.5096027851104736	-0.35503092	Yes	
row_15	ATP2A3	12803	-3.740940809249878	-0.2025127	Yes	
row_16	NOTCH1	12881	-5.149000644683838	0.0037943977	Yes	
