NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PGK1	1	10.262187957763672	0.22188857	Yes	
row_1	PKM	53	4.885618686676025	0.32360834	Yes	
row_2	HK1	80	4.308542251586914	0.41478434	Yes	
row_3	ENO2	275	2.850597381591797	0.46140143	Yes	
row_4	NUDT18	317	2.6560776233673096	0.51567256	Yes	
row_5	PFKP	376	2.4175145626068115	0.5634657	Yes	
row_6	BAD	441	2.20890212059021	0.6062816	Yes	
row_7	FOXK2	1242	1.1216356754302979	0.5685217	Yes	
row_8	TPI1	1255	1.111706256866455	0.5916371	Yes	
row_9	ALDOC	1297	1.0790245532989502	0.6117973	Yes	
row_10	NUDT16	1323	1.0622483491897583	0.6328351	Yes	
row_11	HK2	1708	0.8183483481407166	0.6207658	Yes	
row_12	ENO3	1814	0.764517605304718	0.6291618	Yes	
row_13	PFKM	1905	0.7164685726165771	0.63768137	Yes	
row_14	ENO4	2147	0.6133630275726318	0.6322645	No	
row_15	PGAM2	2424	0.5023170709609985	0.62173235	No	
row_16	GAPDHS	2825	0.38082727789878845	0.59895927	No	
row_17	FOXK1	3650	0.2146613746881485	0.53972137	No	
row_18	PGM1	3773	0.19545769691467285	0.53449094	No	
row_19	PFKFB1	4857	0.05786038190126419	0.45178244	No	
row_20	PFKFB2	5443	0.002282744972035289	0.40647948	No	
row_21	ENTPD4	6118	-0.05935274809598923	0.35551113	No	
row_22	ALDOA	6746	-0.12362020462751389	0.30957654	No	
row_23	AK9	7650	-0.22376829385757446	0.24441113	No	
row_24	PGAM1	8819	-0.3891074061393738	0.16227768	No	
row_25	ADPGK	9708	-0.5565404295921326	0.10547283	No	
row_26	GPI	9926	-0.6062882542610168	0.10176355	No	
row_27	LDHA	10849	-0.8637678623199463	0.048968017	No	
row_28	GUK1	11311	-1.0333325862884521	0.03557929	No	
row_29	ENO1	11417	-1.0889633893966675	0.050992873	No	
row_30	GAPDH	11691	-1.2298190593719482	0.056428827	No	
row_31	PFKL	12326	-1.8284109830856323	0.046825364	No	
