NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SHISA5	30	5.870267391204834	0.059876066	No	
row_1	LGALS1	226	3.1110808849334717	0.07768718	No	
row_2	STC2	251	2.965791940689087	0.107250534	No	
row_3	NUCB1	492	2.0993831157684326	0.1108427	No	
row_4	TIMP1	808	1.5536600351333618	0.102822	No	
row_5	IGFBP4	1454	0.9599452018737793	0.062858626	No	
row_6	LAMB2	1564	0.8900181651115417	0.063817665	No	
row_7	QSOX1	1733	0.8050316572189331	0.059290003	No	
row_8	GOLM1	1745	0.7998132705688477	0.06691069	No	
row_9	PRSS23	2083	0.6386600136756897	0.047483552	No	
row_10	WFS1	2133	0.6193837523460388	0.050238457	No	
row_11	MEN1	2581	0.44946417212486267	0.020256054	No	
row_12	FUCA2	2677	0.41834643483161926	0.017304948	No	
row_13	SERPIND1	3169	0.3011005222797394	-0.017669817	No	
row_14	DMP1	3328	0.2703242599964142	-0.027086541	No	
row_15	MELTF	3413	0.25265181064605713	-0.0309385	No	
row_16	TGOLN2	3472	0.24358785152435303	-0.032865524	No	
row_17	PRKCSH	3689	0.20879127085208893	-0.04744268	No	
row_18	IGFBP6	3782	0.1939510703086853	-0.052538536	No	
row_19	BMP4	4051	0.15730100870132446	-0.071703315	No	
row_20	CST3	4159	0.1433883160352707	-0.07850095	No	
row_21	APOE	4458	0.10067302733659744	-0.100597724	No	
row_22	MBTPS1	4545	0.09067761898040771	-0.10632161	No	
row_23	IGFALS	4851	0.05831948295235634	-0.12941132	No	
row_24	MATN3	4868	0.056908972561359406	-0.13005194	No	
row_25	SDC2	5008	0.04331048205494881	-0.14039747	No	
row_26	FAM20A	5331	0.012649621814489365	-0.16529258	No	
row_27	FSTL3	5812	-0.030868209898471832	-0.20227599	No	
row_28	FN1	6200	-0.06742151081562042	-0.23164314	No	
row_29	MFGE8	6359	-0.08403141796588898	-0.24303403	No	
row_30	MSLN	6606	-0.10944468528032303	-0.2609959	No	
row_31	HRC	6737	-0.12302295863628387	-0.26979712	No	
row_32	DNAJC3	6853	-0.13517870008945465	-0.2773036	No	
row_33	MXRA8	7760	-0.23793861269950867	-0.34520575	No	
row_34	RCN1	7906	-0.2556682527065277	-0.3537673	No	
row_35	GPC3	8608	-0.35494935512542725	-0.4044948	No	
row_36	MIA3	9331	-0.4831934869289398	-0.4554956	No	
row_37	ANO8	10938	-0.8945513367652893	-0.57085073	No	
row_38	ADAM10	11298	-1.0269585847854614	-0.5878731	Yes	
row_39	PDIA6	11371	-1.0648138523101807	-0.5821857	Yes	
row_40	LAMC1	11377	-1.0668866634368896	-0.57126844	Yes	
row_41	IGFBP5	11460	-1.1071208715438843	-0.56591	Yes	
row_42	AMTN	11751	-1.2598768472671509	-0.5751007	Yes	
row_43	CSF1	11862	-1.3419593572616577	-0.5694301	Yes	
row_44	HSP90B1	11899	-1.3742132186889648	-0.5576657	Yes	
row_45	C3	12138	-1.5888731479644775	-0.559328	Yes	
row_46	APP	12169	-1.622723937034607	-0.5444637	Yes	
row_47	APLP2	12171	-1.6251078844070435	-0.52731997	Yes	
row_48	CKAP4	12384	-1.9784611463546753	-0.52283275	Yes	
row_49	IGFBP3	12393	-1.9951393604278564	-0.5023119	Yes	
row_50	FBN1	12402	-2.031801223754883	-0.48140246	Yes	
row_51	P4HB	12415	-2.0613462924957275	-0.46049085	Yes	
row_52	MGAT4A	12443	-2.1192922592163086	-0.44013116	Yes	
row_53	CALU	12481	-2.1943702697753906	-0.41975316	Yes	
row_54	GAS6	12490	-2.2171967029571533	-0.39687908	Yes	
row_55	LTBP1	12493	-2.228527545928955	-0.37341857	Yes	
row_56	IGFBP2	12524	-2.2975594997406006	-0.35140294	Yes	
row_57	APOL1	12593	-2.5184998512268066	-0.32999972	Yes	
row_58	VGF	12600	-2.54048490524292	-0.30354425	Yes	
row_59	KTN1	12633	-2.680111885070801	-0.27763015	Yes	
row_60	PNPLA2	12759	-3.3456876277923584	-0.25189176	Yes	
row_61	VWA1	12781	-3.5169482231140137	-0.21625453	Yes	
row_62	SERPINA1	12831	-4.197160243988037	-0.17558548	Yes	
row_63	LAMB1	12842	-4.435329437255859	-0.12936102	Yes	
row_64	TMEM132A	12904	-6.134308338165283	-0.06909651	Yes	
row_65	FAM20C	12917	-6.7036638259887695	0.0010103087	Yes	
