NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF4G1	2	8.953458786010742	0.2316813	Yes	
row_1	BMP7	14	6.99260950088501	0.41189164	Yes	
row_2	SIRT2	102	3.978834390640259	0.50817287	Yes	
row_3	CALM3	156	3.48421049118042	0.5942824	Yes	
row_4	CALM2	640	1.7924437522888184	0.60325027	Yes	
row_5	INPP5K	947	1.3808528184890747	0.61528265	Yes	
row_6	TGFB1	1059	1.2764934301376343	0.63973016	Yes	
row_7	AXIN1	1542	0.9063115119934082	0.62583053	No	
row_8	RPTOR	2144	0.6153748631477356	0.595172	No	
row_9	SPRED2	2410	0.5071927905082703	0.58776075	No	
row_10	DGKQ	3076	0.32368186116218567	0.5445876	No	
row_11	PLK1	3130	0.31120121479034424	0.54853684	No	
row_12	PARD3	3227	0.2891099750995636	0.54858047	No	
row_13	DMTN	3564	0.22790808975696564	0.52843326	No	
row_14	S1PR2	3582	0.22524353861808777	0.5329477	No	
row_15	EGF	4495	0.09568210691213608	0.4647221	No	
row_16	CEMIP	4621	0.08314485847949982	0.45718434	No	
row_17	MAPK1	5194	0.024713538587093353	0.41347975	No	
row_18	UBE2K	5253	0.01802893914282322	0.40945008	No	
row_19	SPRED3	5596	-0.011764039285480976	0.38324103	No	
row_20	SPRED1	5700	-0.020927486941218376	0.3757978	No	
row_21	TNKS1BP1	6347	-0.08287566900253296	0.32786232	No	
row_22	SPHK1	6422	-0.09038135409355164	0.32446575	No	
row_23	SMAD7	7818	-0.24514971673488617	0.22266561	No	
row_24	RIPK2	9688	-0.5522928833961487	0.09207146	No	
row_25	STOX1	9711	-0.5570380091667175	0.10478956	No	
row_26	CADM4	9990	-0.6206514239311218	0.09930834	No	
row_27	CAB39	10233	-0.6793868541717529	0.0981389	No	
row_28	PRKAG2	10308	-0.6978508234024048	0.11047182	No	
row_29	DDIT4	10570	-0.768735945224762	0.11014295	No	
row_30	CALM1	11606	-1.1834666728973389	0.060548272	No	
row_31	APP	12169	-1.622723937034607	0.058997	No	
