NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASCL1	579	1.9064419269561768	-0.0047142166	No	
row_1	ABCA3	742	1.6446677446365356	0.017397696	No	
row_2	DNAAF1	1819	0.7625744342803955	-0.049986027	No	
row_3	TGFB3	1944	0.6984522938728333	-0.044877518	No	
row_4	CCDC40	2553	0.4588417112827301	-0.082363866	No	
row_5	NPHP3	2822	0.3810043931007385	-0.09511846	No	
row_6	SPEF2	2930	0.3577736020088196	-0.095874526	No	
row_7	SFTPD	2956	0.35110998153686523	-0.09041055	No	
row_8	BAG6	3173	0.30021753907203674	-0.10083504	No	
row_9	LRP6	3408	0.2531055212020874	-0.1136491	No	
row_10	LOXL3	3705	0.20688793063163757	-0.13224684	No	
row_11	BMP4	4051	0.15730100870132446	-0.15569092	No	
row_12	NFIB	4340	0.11580727249383926	-0.17558856	No	
row_13	WNT11	4762	0.06752452999353409	-0.20682073	No	
row_14	ERRFI1	4863	0.057163942605257034	-0.21337217	No	
row_15	STRA6	5128	0.03230242431163788	-0.23316889	No	
row_16	DISP1	5973	-0.04420321807265282	-0.2977038	No	
row_17	ATP7A	6038	-0.05118304863572121	-0.30158895	No	
row_18	GRHL2	6501	-0.09683573246002197	-0.33538333	No	
row_19	GLI3	6561	-0.10389915108680725	-0.3377691	No	
row_20	ZIC3	7523	-0.20771524310112	-0.40793177	No	
row_21	BASP1	8590	-0.35114777088165283	-0.48321477	No	
row_22	PKDCC	9967	-0.6171774864196777	-0.5769344	No	
row_23	CELSR1	10066	-0.6425979137420654	-0.57098687	No	
row_24	BMPR2	10518	-0.753349781036377	-0.5900854	No	
row_25	SMCHD1	11092	-0.939893364906311	-0.6147139	No	
row_26	WNT7B	11720	-1.2434817552566528	-0.6371299	No	
row_27	FGFR2	12177	-1.63277268409729	-0.6380736	Yes	
row_28	SOX11	12193	-1.6467232704162598	-0.60451597	Yes	
row_29	SIX4	12255	-1.7257969379425049	-0.5728591	Yes	
row_30	ITGA3	12327	-1.8289684057235718	-0.53980255	Yes	
row_31	CHD7	12400	-2.027759313583374	-0.5026321	Yes	
row_32	SKI	12535	-2.3297648429870605	-0.463903	Yes	
row_33	PKD1	12624	-2.6512837409973145	-0.4148266	Yes	
row_34	PDGFA	12655	-2.776714563369751	-0.35860655	Yes	
row_35	VEGFA	12700	-3.007474899291992	-0.29860687	Yes	
row_36	CTSH	12856	-4.617163181304932	-0.21327688	Yes	
row_37	CEBPA	12872	-4.883652210235596	-0.11146851	Yes	
row_38	SHH	12895	-5.496317386627197	0.0027149431	Yes	
