NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASCL1	579	1.9064419269561768	0.0017510705	No	
row_1	ABCA3	742	1.6446677446365356	0.029424282	No	
row_2	DNAAF1	1819	0.7625744342803955	-0.03533271	No	
row_3	TGFB3	1944	0.6984522938728333	-0.027859788	No	
row_4	CCDC40	2553	0.4588417112827301	-0.06376753	No	
row_5	NPHP3	2822	0.3810043931007385	-0.07522271	No	
row_6	SFTPD	2956	0.35110998153686523	-0.076944046	No	
row_7	BAG6	3173	0.30021753907203674	-0.0863444	No	
row_8	LOXL3	3705	0.20688793063163757	-0.122446366	No	
row_9	BMP4	4051	0.15730100870132446	-0.1453427	No	
row_10	NFIB	4340	0.11580727249383926	-0.16483544	No	
row_11	WNT11	4762	0.06752452999353409	-0.19581933	No	
row_12	ERRFI1	4863	0.057163942605257034	-0.20217295	No	
row_13	STRA6	5128	0.03230242431163788	-0.22184789	No	
row_14	ATP7A	6038	-0.05118304863572121	-0.29106098	No	
row_15	GRHL2	6501	-0.09683573246002197	-0.32450616	No	
row_16	ZIC3	7523	-0.20771524310112	-0.3985724	No	
row_17	PKDCC	9967	-0.6171774864196777	-0.572855	No	
row_18	CELSR1	10066	-0.6425979137420654	-0.5647329	No	
row_19	BMPR2	10518	-0.753349781036377	-0.5812659	No	
row_20	WNT7B	11720	-1.2434817552566528	-0.64394903	Yes	
row_21	HECA	12136	-1.586548924446106	-0.6373099	Yes	
row_22	FGFR2	12177	-1.63277268409729	-0.6004703	Yes	
row_23	SOX11	12193	-1.6467232704162598	-0.5613515	Yes	
row_24	ITGA3	12327	-1.8289684057235718	-0.52692187	Yes	
row_25	PKD1	12624	-2.6512837409973145	-0.48501274	Yes	
row_26	PDGFA	12655	-2.776714563369751	-0.4194152	Yes	
row_27	VEGFA	12700	-3.007474899291992	-0.34925812	Yes	
row_28	CTSH	12856	-4.617163181304932	-0.24833003	Yes	
row_29	CEBPA	12872	-4.883652210235596	-0.13003044	Yes	
row_30	SHH	12895	-5.496317386627197	0.002713329	Yes	
