NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MT2A	587	1.898754358291626	-0.019347373	No	
row_1	DAPK3	926	1.3983924388885498	-0.026262473	No	
row_2	HCK	1013	1.3277100324630737	-0.0145608885	No	
row_3	TRIM8	1410	0.9882189631462097	-0.03166706	No	
row_4	CITED1	1558	0.8953418731689453	-0.030697232	No	
row_5	ICAM1	2068	0.6471136212348938	-0.061314702	No	
row_6	IRF3	2168	0.6028949618339539	-0.060662802	No	
row_7	SLC11A1	2523	0.47053200006484985	-0.08167308	No	
row_8	CD44	2707	0.4122810959815979	-0.09019309	No	
row_9	TLR2	2964	0.3496786952018738	-0.10525668	No	
row_10	IFNGR2	3057	0.32831689715385437	-0.107863404	No	
row_11	TRIM26	3183	0.2991478741168976	-0.11344022	No	
row_12	KYNU	3394	0.2566438913345337	-0.12621537	No	
row_13	CYP27B1	3597	0.222932830452919	-0.13883533	No	
row_14	GBP3	4027	0.16056853532791138	-0.16997069	No	
row_15	LGALS9	4067	0.15551972389221191	-0.17084937	No	
row_16	IFNGR1	4304	0.12153559178113937	-0.18751757	No	
row_17	IFITM2	4520	0.09291279315948486	-0.20294921	No	
row_18	IFITM3	4829	0.06008761748671532	-0.22606723	No	
row_19	JAK2	4993	0.045039914548397064	-0.23811838	No	
row_20	PML	5453	0.0013986347476020455	-0.27379107	No	
row_21	TRIM25	5751	-0.025907589122653008	-0.29652712	No	
row_22	PTAFR	5915	-0.03930569440126419	-0.30865768	No	
row_23	SYNCRIP	6017	-0.04862933233380318	-0.31583798	No	
row_24	PDE12	6066	-0.0545121394097805	-0.31881547	No	
row_25	IFITM1	6147	-0.06161905825138092	-0.32418287	No	
row_26	JAK1	6516	-0.0983288437128067	-0.35143688	No	
row_27	TRIM5	6568	-0.10501613467931747	-0.35394818	No	
row_28	RPL13A	6752	-0.12392521649599075	-0.36646196	No	
row_29	CIITA	6998	-0.1505967378616333	-0.3834275	No	
row_30	IRF5	7430	-0.19650119543075562	-0.4142207	No	
row_31	CCL5	7685	-0.22855009138584137	-0.4308064	No	
row_32	NUB1	7997	-0.26478204131126404	-0.45132264	No	
row_33	DAPK1	8735	-0.37580376863479614	-0.5034272	No	
row_34	MID1	8860	-0.39618802070617676	-0.50758225	No	
row_35	TRIM68	9053	-0.42837435007095337	-0.5165792	No	
row_36	TRIM21	9504	-0.5179596543312073	-0.5443976	No	
row_37	CAMK2D	9586	-0.532095193862915	-0.5433266	No	
row_38	STAT1	9789	-0.574081301689148	-0.5510831	No	
row_39	IRF2	9801	-0.5767401456832886	-0.5439505	No	
row_40	TRIM62	9885	-0.5952714085578918	-0.54216003	No	
row_41	GBP1	10018	-0.6301088929176331	-0.5436973	No	
row_42	GBP2	10115	-0.6510327458381653	-0.54214543	No	
row_43	CALCOCO2	10873	-0.8694226741790771	-0.5889685	Yes	
row_44	GCH1	10924	-0.8905649781227112	-0.58052206	Yes	
row_45	CX3CL1	11157	-0.963221549987793	-0.5852217	Yes	
row_46	SP100	11200	-0.9804310202598572	-0.57490855	Yes	
row_47	CD58	11368	-1.0645043849945068	-0.573151	Yes	
row_48	UBD	11588	-1.1689342260360718	-0.57399064	Yes	
row_49	IRF7	11673	-1.220126748085022	-0.56362355	Yes	
row_50	GAPDH	11691	-1.2298190593719482	-0.5479123	Yes	
row_51	PRKCD	11753	-1.2603195905685425	-0.53520006	Yes	
row_52	CCL22	11755	-1.2605401277542114	-0.51781917	Yes	
row_53	TRIM38	11794	-1.2937992811203003	-0.50285476	Yes	
row_54	CD47	11865	-1.343985676765442	-0.48968357	Yes	
row_55	IRF9	12020	-1.4765007495880127	-0.48120895	Yes	
row_56	CXCL16	12111	-1.5552804470062256	-0.46666652	Yes	
row_57	OAS3	12187	-1.6420037746429443	-0.44975653	Yes	
row_58	B2M	12283	-1.7677547931671143	-0.43266013	Yes	
row_59	CAMK2G	12307	-1.8033381700515747	-0.4094721	Yes	
row_60	SIRPA	12511	-2.263408660888672	-0.39390892	Yes	
row_61	IRF6	12537	-2.338440179824829	-0.3634652	Yes	
row_62	CAMK2B	12570	-2.44231915473938	-0.33212703	Yes	
row_63	OAS1	12577	-2.4615728855133057	-0.29850042	Yes	
row_64	SLC26A6	12589	-2.507925033569336	-0.26462066	Yes	
row_65	OASL	12599	-2.536135196685791	-0.23019464	Yes	
row_66	OAS2	12643	-2.701706886291504	-0.19611928	Yes	
row_67	IRF1	12701	-3.020277261734009	-0.15872033	Yes	
row_68	BST2	12735	-3.1607353687286377	-0.11750976	Yes	
row_69	CD74	12832	-4.270791530609131	-0.06582366	Yes	
row_70	IFI30	12886	-5.297146320343018	0.003421322	Yes	
