NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PGK1	1	10.262187957763672	0.21647088	Yes	
row_1	PKM	53	4.885618686676025	0.31561077	Yes	
row_2	HK1	80	4.308542251586914	0.40451184	Yes	
row_3	ENO2	275	2.850597381591797	0.4496217	Yes	
row_4	NUDT18	317	2.6560776233673096	0.5024901	Yes	
row_5	PFKP	376	2.4175145626068115	0.54900634	Yes	
row_6	BAD	441	2.20890212059021	0.59065527	Yes	
row_7	CMPK1	966	1.3675063848495483	0.5788822	Yes	
row_8	FOXK2	1242	1.1216356754302979	0.5812277	Yes	
row_9	TPI1	1255	1.111706256866455	0.603756	Yes	
row_10	ALDOC	1297	1.0790245532989502	0.6233461	Yes	
row_11	NUDT16	1323	1.0622483491897583	0.6438228	Yes	
row_12	HK2	1708	0.8183483481407166	0.6313169	Yes	
row_13	ENO3	1814	0.764517605304718	0.639308	Yes	
row_14	PFKM	1905	0.7164685726165771	0.64744824	Yes	
row_15	ENO4	2147	0.6133630275726318	0.6417047	No	
row_16	PGAM2	2424	0.5023170709609985	0.630904	No	
row_17	GAPDHS	2825	0.38082727789878845	0.6079251	No	
row_18	FOXK1	3650	0.2146613746881485	0.54856396	No	
row_19	PGM1	3773	0.19545769691467285	0.54322886	No	
row_20	PFKFB1	4857	0.05786038190126419	0.46047682	No	
row_21	PFKFB2	5443	0.002282744972035289	0.41516557	No	
row_22	ENTPD4	6118	-0.05935274809598923	0.3641578	No	
row_23	NUDT5	6655	-0.11509770154953003	0.32502648	No	
row_24	ALDOA	6746	-0.12362020462751389	0.32065672	No	
row_25	AK9	7650	-0.22376829385757446	0.2553623	No	
row_26	PGAM1	8819	-0.3891074061393738	0.17300937	No	
row_27	ADPGK	9708	-0.5565404295921326	0.11590003	No	
row_28	GPI	9926	-0.6062882542610168	0.11186806	No	
row_29	ENTPD7	10354	-0.7074025869369507	0.09368689	No	
row_30	LDHA	10849	-0.8637678623199463	0.07361028	No	
row_31	ENO1	11417	-1.0889633893966675	0.05262542	No	
row_32	GAPDH	11691	-1.2298190593719482	0.05740884	No	
row_33	PFKL	12326	-1.8284109830856323	0.046832483	No	
