NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POLR3A	527	2.0141661167144775	0.028045665	Yes	
row_1	NFIC	561	1.9515693187713623	0.09227051	Yes	
row_2	POLR3GL	637	1.7990168333053589	0.14801677	Yes	
row_3	GTF3C6	714	1.682198405265808	0.19968778	Yes	
row_4	POLR3H	716	1.6795940399169922	0.2570877	Yes	
row_5	POLR1C	825	1.5337748527526855	0.30119717	Yes	
row_6	GTF3C1	857	1.4725147485733032	0.3491834	Yes	
row_7	BRF1	913	1.410754680633545	0.39319438	Yes	
row_8	POLR3K	1150	1.1939404010772705	0.41574493	Yes	
row_9	SSB	1219	1.140560507774353	0.44950113	Yes	
row_10	SNAPC4	1266	1.1024065017700195	0.48365825	Yes	
row_11	NFIX	1286	1.0866713523864746	0.5193714	Yes	
row_12	POLR3G	1430	0.9763874411582947	0.5416914	Yes	
row_13	POLR3D	1488	0.9387528300285339	0.5693948	Yes	
row_14	BDP1	2136	0.6175020337104797	0.5403364	Yes	
row_15	CRCP	2342	0.5284408330917358	0.5425176	Yes	
row_16	POLR2F	2470	0.4861770570278168	0.5493033	Yes	
row_17	GTF3A	2488	0.48203131556510925	0.5644801	Yes	
row_18	POLR2H	2529	0.46788597106933594	0.57738876	Yes	
row_19	SNAPC2	2613	0.4376195967197418	0.58592594	Yes	
row_20	GTF3C5	2981	0.3457101285457611	0.56928706	No	
row_21	SNAPC1	3305	0.2747868299484253	0.5536343	No	
row_22	SNAPC3	4332	0.11716453731060028	0.4780534	No	
row_23	NFIB	4340	0.11580727249383926	0.48147342	No	
row_24	GTF3C2	4888	0.05496803671121597	0.44092178	No	
row_25	BRF2	5527	-0.005619132425636053	0.3916222	No	
row_26	POLR2K	5687	-0.019976330921053886	0.3799716	No	
row_27	GTF3C3	6451	-0.09254588186740875	0.32395005	No	
row_28	POLR2L	6505	-0.0971316322684288	0.3231626	No	
row_29	SNAPC5	6530	-0.10040503740310669	0.3247368	No	
row_30	POLR3E	6677	-0.11690995842218399	0.31741184	No	
row_31	POLR2E	7457	-0.19947782158851624	0.26380843	No	
row_32	TBP	7939	-0.25881659984588623	0.23535256	No	
row_33	POU2F1	8602	-0.35415104031562805	0.19611832	No	
row_34	POLR1D	8837	-0.3915152847766876	0.19136418	No	
row_35	POLR3F	9466	-0.5107623338699341	0.16012686	No	
row_36	POLR3C	9875	-0.5941917896270752	0.14881074	No	
row_37	POLR3B	10142	-0.657515287399292	0.15067707	No	
row_38	ZNF143	10230	-0.6786835193634033	0.16715343	No	
row_39	GTF3C4	11704	-1.2336691617965698	0.095105134	No	
