NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NAT10	207	3.1985199451446533	0.061650533	Yes	
row_1	DHX37	278	2.8236260414123535	0.12483279	Yes	
row_2	PNO1	318	2.65517520904541	0.18632948	Yes	
row_3	RRP9	467	2.147879123687744	0.22703049	Yes	
row_4	NOL6	583	1.9031546115875244	0.26434767	Yes	
row_5	SNU13	608	1.8591949939727783	0.30766562	Yes	
row_6	PDCD11	617	1.8422969579696655	0.35181582	Yes	
row_7	NOP2	916	1.4073221683502197	0.36286747	Yes	
row_8	RRP36	982	1.3518352508544922	0.39067054	Yes	
row_9	PWP2	1048	1.2877298593521118	0.41691574	Yes	
row_10	DDX49	1063	1.2717056274414062	0.4467333	Yes	
row_11	RPS2	1194	1.1569870710372925	0.46475184	Yes	
row_12	IMP4	1433	0.9753130078315735	0.46996567	Yes	
row_13	WDR46	1453	0.960419774055481	0.4918299	Yes	
row_14	NOP14	1492	0.9370638132095337	0.51165056	Yes	
row_15	EMG1	2032	0.6637734770774841	0.48591107	Yes	
row_16	DKC1	2044	0.6580970883369446	0.5010497	Yes	
row_17	UTP6	2161	0.6057095527648926	0.50675863	Yes	
row_18	WDR43	2188	0.5950907468795776	0.5192008	Yes	
row_19	UTP4	2190	0.5939128994941711	0.53355646	Yes	
row_20	WDR75	2225	0.5772383213043213	0.5449434	Yes	
row_21	NOP56	2288	0.552698016166687	0.5535588	Yes	
row_22	BMS1	2309	0.5449089407920837	0.5652476	Yes	
row_23	NOP10	2332	0.534847617149353	0.5765365	Yes	
row_24	WDR3	2400	0.5114870071411133	0.583762	Yes	
row_25	NHP2	2406	0.5083713531494141	0.5957281	Yes	
row_26	IMP3	2519	0.47165191173553467	0.5984898	Yes	
row_27	RCL1	3003	0.3412189781665802	0.5692617	No	
row_28	NOP58	3027	0.3371894657611847	0.57566947	No	
row_29	DDX52	3100	0.31828784942626953	0.5778114	No	
row_30	NOC4L	3303	0.2750603258609772	0.5688042	No	
row_31	TSR3	3579	0.2257278561592102	0.5529273	No	
row_32	TBL3	3733	0.20180703699588776	0.5459463	No	
row_33	GAR1	3914	0.17624115943908691	0.5362466	No	
row_34	FBL	4289	0.12432607263326645	0.5102149	No	
row_35	DCAF13	4983	0.046432800590991974	0.45750973	No	
row_36	RPS7	5209	0.022648820653557777	0.44058168	No	
row_37	UTP14A	5283	0.016134008765220642	0.435303	No	
row_38	MPHOSPH10	5469	2.0314981156843714E-5	0.42093232	No	
row_39	UTP20	5546	-0.006990901660174131	0.4151984	No	
row_40	RPS9	5642	-0.016101587563753128	0.4082099	No	
row_41	RRP7A	5659	-0.0176236592233181	0.40739527	No	
row_42	KRR1	5752	-0.02595745027065277	0.40087935	No	
row_43	UTP14C	5911	-0.03885756433010101	0.38954994	No	
row_44	THUMPD1	7402	-0.1939660757780075	0.27851757	No	
row_45	TRMT112	7539	-0.21119780838489532	0.27308536	No	
row_46	UTP15	7582	-0.21657824516296387	0.27508602	No	
row_47	HEATR1	7715	-0.2332867980003357	0.27050138	No	
row_48	UTP3	7984	-0.263348788022995	0.25608253	No	
row_49	FCF1	8589	-0.35103848576545715	0.21769358	No	
row_50	RPS14	8848	-0.3937108516693115	0.20721962	No	
row_51	UTP11	9145	-0.44574451446533203	0.19505827	No	
row_52	DIMT1	9204	-0.4586828351020813	0.20169967	No	
row_53	DDX47	9674	-0.5489060282707214	0.17860639	No	
row_54	NOL11	10313	-0.6991063952445984	0.14603503	No	
row_55	WDR36	10336	-0.7038037776947021	0.16142993	No	
row_56	UTP18	10443	-0.7328000664710999	0.1710042	No	
row_57	RPS6	10988	-0.9099270105361938	0.15085833	No	
