NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NAT10	207	3.1985199451446533	0.12183185	Yes	
row_1	MRM3	339	2.5733211040496826	0.2226052	Yes	
row_2	FTSJ3	380	2.384446382522583	0.32229194	Yes	
row_3	RPUSD3	408	2.289278030395508	0.41888413	Yes	
row_4	NOP2	916	1.4073221683502197	0.4402421	Yes	
row_5	NSUN5	1348	1.0364936590194702	0.45150694	Yes	
row_6	MRM1	1384	1.00810968875885	0.49225065	Yes	
row_7	MRM2	1884	0.727362871170044	0.4849174	Yes	
row_8	METTL16	2024	0.6666420102119446	0.50287795	Yes	
row_9	EMG1	2032	0.6637734770774841	0.530949	Yes	
row_10	DKC1	2044	0.6580970883369446	0.5584652	Yes	
row_11	NSUN4	2049	0.6560096740722656	0.5864341	Yes	
row_12	NOP10	2332	0.534847617149353	0.58762634	Yes	
row_13	NHP2	2406	0.5083713531494141	0.60388124	Yes	
row_14	RPUSD2	2501	0.4779536724090576	0.6171968	Yes	
row_15	RPUSD1	3022	0.3378887176513672	0.5914461	No	
row_16	METTL15	3095	0.31903839111328125	0.5996168	No	
row_17	FDXACB1	3431	0.249685138463974	0.58440715	No	
row_18	TSR3	3579	0.2257278561592102	0.58274066	No	
row_19	GAR1	3914	0.17624115943908691	0.5644425	No	
row_20	METTL5	3979	0.16723403334617615	0.56668955	No	
row_21	FBL	4289	0.12432607263326645	0.54809177	No	
row_22	TFB1M	4460	0.10054805874824524	0.53924584	No	
row_23	NAF1	5407	0.005539979785680771	0.46613994	No	
row_24	NSUN3	5964	-0.04331979900598526	0.4248999	No	
row_25	ZCCHC4	7004	-0.15116380155086517	0.3508611	No	
row_26	THUMPD1	7402	-0.1939660757780075	0.32844257	No	
row_27	TRMT112	7539	-0.21119780838489532	0.32700256	No	
row_28	MTERF4	7817	-0.24512426555156708	0.3160931	No	
row_29	TFB2M	7875	-0.25235795974731445	0.32255238	No	
row_30	RPUSD4	8870	-0.3980860114097595	0.26264673	No	
row_31	DIMT1	9204	-0.4586828351020813	0.25660154	No	
row_32	NSUN5P1	10499	-0.7470333576202393	0.1884788	No	
