NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEMA3B	980	1.3567577600479126	-0.04108183	No	
row_1	ARHGDIA	1241	1.1230038404464722	-0.03235374	No	
row_2	FLNA	1452	0.9609634876251221	-0.023917133	No	
row_3	SEMA3C	2296	0.5498465299606323	-0.07513279	No	
row_4	SEMA4A	3323	0.2711451053619385	-0.14770553	No	
row_5	SEMA4F	3398	0.2556955814361572	-0.14686577	No	
row_6	SEMA6C	3617	0.21898089349269867	-0.15813492	No	
row_7	SEMA6A	4333	0.1169474720954895	-0.21056171	No	
row_8	SH3BP1	4400	0.10806786268949509	-0.21289903	No	
row_9	SEMA3D	4680	0.07683370262384415	-0.23255396	No	
row_10	RAC1	4806	0.06250811368227005	-0.24063753	No	
row_11	SEMA3E	5505	-0.0029332502745091915	-0.294679	No	
row_12	SEMA4G	6043	-0.05184538662433624	-0.33497977	No	
row_13	PLXNA2	6204	-0.06779388338327408	-0.345641	No	
row_14	FARP2	6307	-0.07805562764406204	-0.35154143	No	
row_15	PLXNC1	6898	-0.14000439643859863	-0.3936837	No	
row_16	SEMA5A	8050	-0.27168944478034973	-0.47593388	No	
row_17	NRP2	8305	-0.3093012571334839	-0.4876709	No	
row_18	SEMA4B	8466	-0.33057889342308044	-0.49157268	No	
row_19	PLXNB3	9307	-0.4792969226837158	-0.5443704	No	
row_20	SEMA4D	10748	-0.8273248076438904	-0.6347349	No	
row_21	MET	10904	-0.8821766376495361	-0.6240607	No	
row_22	PLXNA1	11854	-1.33516263961792	-0.66329455	Yes	
row_23	PLXNB1	12153	-1.6054502725601196	-0.645103	Yes	
row_24	SEMA6B	12410	-2.05018949508667	-0.6122154	Yes	
row_25	NRP1	12455	-2.1446614265441895	-0.56046116	Yes	
row_26	SEMA4C	12512	-2.267087936401367	-0.50648814	Yes	
row_27	PLXNB2	12532	-2.316652297973633	-0.44837162	Yes	
row_28	PLXNA3	12542	-2.346390724182129	-0.3887148	Yes	
row_29	PLXND1	12661	-2.8135759830474854	-0.32549185	Yes	
row_30	SEMA3F	12768	-3.3977651596069336	-0.24631178	Yes	
row_31	SEMA7A	12790	-3.6154210567474365	-0.15494296	Yes	
row_32	PLXNA4	12910	-6.442646503448486	0.0015505628	Yes	
