NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AP2M1	22	6.156205654144287	0.23347515	Yes	
row_1	AP2A2	166	3.4280893802642822	0.35335985	Yes	
row_2	ARF1	292	2.7499775886535645	0.4487334	Yes	
row_3	AP1B1	358	2.467170476913452	0.53795004	Yes	
row_4	PACS1	491	2.1004931926727295	0.6079699	Yes	
row_5	AP1S3	715	1.6801329851150513	0.65488344	Yes	
row_6	HCK	1013	1.3277100324630737	0.6826027	Yes	
row_7	AP1S1	1559	0.8936799764633179	0.6745342	Yes	
row_8	AP1M2	1718	0.8135307431221008	0.693376	Yes	
row_9	AP2S1	2029	0.6654309034347534	0.69478804	Yes	
row_10	AP2B1	4553	0.08977803587913513	0.5028181	No	
row_11	RAC1	4806	0.06250811368227005	0.48568934	No	
row_12	FYN	4876	0.056097012013196945	0.48248848	No	
row_13	ATP6V1H	7424	-0.19591273367404938	0.29271436	No	
row_14	AP1M1	7673	-0.22660957276821136	0.28216434	No	
row_15	PAK2	9322	-0.48178884387016296	0.1729364	No	
row_16	AP2A1	9386	-0.4949783384799957	0.18696634	No	
row_17	AP1G1	9508	-0.5188326835632324	0.19741563	No	
row_18	B2M	12283	-1.7677547931671143	0.05010838	No	
