NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	70	-0.6749833	-2.1983364	0.0	0.0	0.0	1259	tags=40%, list=10%, signal=44%	
ANTIMICROBIAL HUMORAL RESPONSE%GOBP%GO:0019730	ANTIMICROBIAL HUMORAL RESPONSE%GOBP%GO:0019730	Details ...	33	-0.7271104	-2.0431292	0.0	0.0068874285	0.012	1492	tags=33%, list=12%, signal=38%	
ANTIMICROBIAL PEPTIDES%REACTOME%R-HSA-6803157.2	ANTIMICROBIAL PEPTIDES%REACTOME%R-HSA-6803157.2	Details ...	19	-0.8229157	-2.01514	0.0	0.009553197	0.025	281	tags=32%, list=2%, signal=32%	
HUMORAL IMMUNE RESPONSE%GOBP%GO:0006959	HUMORAL IMMUNE RESPONSE%GOBP%GO:0006959	Details ...	62	-0.6320584	-1.9992495	0.0	0.012601474	0.044	1492	tags=24%, list=12%, signal=27%	
MYELOID LEUKOCYTE MIGRATION%GOBP%GO:0097529	MYELOID LEUKOCYTE MIGRATION%GOBP%GO:0097529	Details ...	40	-0.6709224	-1.955092	0.0	0.02998598	0.121	1775	tags=33%, list=14%, signal=38%	
RESPIRATORY SYSTEM DEVELOPMENT%GOBP%GO:0060541	RESPIRATORY SYSTEM DEVELOPMENT%GOBP%GO:0060541	Details ...	39	-0.67250067	-1.9484795	0.0	0.028615845	0.136	755	tags=31%, list=6%, signal=33%	
SEMAPHORIN-PLEXIN SIGNALING PATHWAY%GOBP%GO:0071526	SEMAPHORIN-PLEXIN SIGNALING PATHWAY%GOBP%GO:0071526	Details ...	33	-0.697638	-1.9403594	0.0	0.02944528	0.162	1078	tags=33%, list=8%, signal=36%	
RESPONSE TO INTERFERON-GAMMA%GOBP%GO:0034341	RESPONSE TO INTERFERON-GAMMA%GOBP%GO:0034341	Details ...	71	-0.60101014	-1.9363873	0.0	0.028346298	0.177	2059	tags=39%, list=16%, signal=47%	
MUSCLE CELL DEVELOPMENT%GOBP%GO:0055001	MUSCLE CELL DEVELOPMENT%GOBP%GO:0055001	Details ...	50	-0.6399985	-1.9253055	0.0	0.03117381	0.212	828	tags=22%, list=6%, signal=23%	
ORGAN GROWTH%GOBP%GO:0035265	ORGAN GROWTH%GOBP%GO:0035265	Details ...	17	-0.7845309	-1.913048	0.0	0.035599954	0.267	755	tags=41%, list=6%, signal=44%	
