NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SNORNA METABOLIC PROCESS%GOBP%GO:0016074	SNORNA METABOLIC PROCESS%GOBP%GO:0016074	Details ...	15	0.7969306	1.9160591	0.0	0.46078563	0.424	1323	tags=40%, list=10%, signal=45%	
NCRNA CATABOLIC PROCESS%GOBP%GO:0034661	NCRNA CATABOLIC PROCESS%GOBP%GO:0034661	Details ...	21	0.7375212	1.8977647	0.0	0.31521377	0.529	1323	tags=38%, list=10%, signal=42%	
RRNA MODIFICATION IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-6790901.4	RRNA MODIFICATION IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-6790901.4	Details ...	58	0.5984898	1.8921049	0.0	0.22822294	0.562	2519	tags=47%, list=19%, signal=58%	
PURINE RIBONUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009179	PURINE RIBONUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009179	Details ...	31	0.65562433	1.8874753	0.002074689	0.18434945	0.587	1905	tags=45%, list=15%, signal=53%	
RIBONUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009185	RIBONUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009185	Details ...	34	0.64744824	1.8681092	0.0021231424	0.19821292	0.701	1905	tags=44%, list=15%, signal=52%	
NUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009132	NUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009132	Details ...	47	0.5938454	1.837354	0.004415011	0.26471797	0.86	2147	tags=43%, list=17%, signal=51%	
PURINE NUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009135	PURINE NUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009135	Details ...	32	0.63768137	1.8258566	0.0	0.27114475	0.9	1905	tags=44%, list=15%, signal=51%	
REGULATION OF PEPTIDYL-THREONINE PHOSPHORYLATION%GOBP%GO:0010799	REGULATION OF PEPTIDYL-THREONINE PHOSPHORYLATION%GOBP%GO:0010799	Details ...	32	0.63973016	1.8254521	0.0	0.23859337	0.901	1059	tags=22%, list=8%, signal=24%	
MONOSACCHARIDE CATABOLIC PROCESS%GOBP%GO:0046365	MONOSACCHARIDE CATABOLIC PROCESS%GOBP%GO:0046365	Details ...	45	0.5913211	1.81532	0.0022222223	0.24552469	0.932	1905	tags=36%, list=15%, signal=42%	
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108	MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108	Details ...	86	0.5297747	1.7856699	0.0	0.33529684	0.979	1801	tags=29%, list=14%, signal=34%	
NCRNA 3'-END PROCESSING%GOBP%GO:0043628	NCRNA 3'-END PROCESSING%GOBP%GO:0043628	Details ...	33	0.61367625	1.7792952	0.0	0.3293914	0.986	1625	tags=33%, list=13%, signal=38%	
NEGATIVE REGULATION OF PEPTIDYL-THREONINE PHOSPHORYLATION%GOBP%GO:0010801	NEGATIVE REGULATION OF PEPTIDYL-THREONINE PHOSPHORYLATION%GOBP%GO:0010801	Details ...	15	0.7504924	1.7752304	0.0022624435	0.31594703	0.988	947	tags=33%, list=7%, signal=36%	
NCRNA 5'-END PROCESSING%GOBP%GO:0034471	NCRNA 5'-END PROCESSING%GOBP%GO:0034471	Details ...	18	0.6942103	1.7627202	0.004484305	0.343291	0.996	1492	tags=39%, list=12%, signal=44%	
NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009142	NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009142	Details ...	47	0.5746094	1.7615929	0.0	0.32301024	0.996	2424	tags=49%, list=19%, signal=60%	
POSITIVE REGULATION OF EPIDERMAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0045742	POSITIVE REGULATION OF EPIDERMAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0045742	Details ...	26	0.63970923	1.7598125	0.0064102565	0.30926254	0.996	1757	tags=50%, list=14%, signal=58%	
GLUCOSE CATABOLIC PROCESS%GOBP%GO:0006007	GLUCOSE CATABOLIC PROCESS%GOBP%GO:0006007	Details ...	21	0.6777942	1.759587	0.004474273	0.29075572	0.996	1905	tags=52%, list=15%, signal=61%	
THE ROLE OF NEF IN HIV-1 REPLICATION AND DISEASE PATHOGENESIS%REACTOME DATABASE ID RELEASE 75%164952	THE ROLE OF NEF IN HIV-1 REPLICATION AND DISEASE PATHOGENESIS%REACTOME DATABASE ID RELEASE 75%164952	Details ...	19	0.69478804	1.7568946	0.013824885	0.28310543	0.996	2029	tags=53%, list=16%, signal=62%	
ADP METABOLIC PROCESS%GOBP%GO:0046031	ADP METABOLIC PROCESS%GOBP%GO:0046031	Details ...	28	0.6389053	1.7552861	0.0022624435	0.27263385	0.997	1905	tags=43%, list=15%, signal=50%	
RNA POLYMERASE III TRANSCRIPTION%REACTOME DATABASE ID RELEASE 75%74158	RNA POLYMERASE III TRANSCRIPTION%REACTOME DATABASE ID RELEASE 75%74158	Details ...	40	0.58592594	1.7542824	0.0022271716	0.26179796	0.997	2613	tags=50%, list=20%, signal=62%	
